generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,94.0464,98.0119,99.8116,12.9884,99.5211,5.0934,92.5907,99.9942,9.0647,84.255,living,weighted,half,0.1,10,4
1.0,18.0613,97.8214,16.7161,83.19,6.5684,13.3984,91.3799,98.1829,98.7856,98.4174,living,weighted,half,0.1,10,4
2.0,98.1829,92.5362,96.1584,99.748,95.3517,99.8168,99.7715,96.1348,76.9408,99.4959,living,weighted,half,0.1,10,4
3.0,66.6609,98.7095,88.9111,99.9718,94.3546,80.4989,96.5627,92.6992,97.5913,99.8817,living,weighted,half,0.1,10,4
4.0,93.1983,69.728,99.9576,97.2244,71.6337,99.9997,98.6913,98.8206,70.2321,99.1609,living,weighted,half,0.1,10,4
5.0,94.5804,68.2806,77.5514,99.593,90.9399,93.1983,92.5034,97.7199,69.728,99.5321,living,weighted,half,0.1,10,4
6.0,92.558,93.9386,95.6319,98.5504,99.5484,99.1755,97.9436,99.9997,99.6006,97.0416,living,weighted,half,0.1,10,4
7.0,63.0822,89.6959,87.722,99.9647,83.1408,77.1516,91.036,99.0513,90.8554,99.9992,living,weighted,half,0.1,10,4
8.0,89.3332,64.5499,88.8444,95.8302,90.303,98.1775,98.9184,99.9994,91.3093,89.5154,living,weighted,half,0.1,10,4
9.0,92.16,88.8444,98.0623,66.9375,88.6296,96.7528,91.9003,12.6897,99.9193,79.4428,living,weighted,half,0.1,10,4
10.0,92.0,89.0,95.0,94.0,98.0,82.0,96.0,92.0,99.0,92.0,living,weighted,half,0.1,10,4
