generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,96.8671,89.8367,91.3916,87.9452,99.746,99.4787,86.4576,95.59,97.11,91.6363,living,tournament,half,0.1,10,4
1.0,95.7151,93.7999,98.199,94.8198,88.4672,99.5349,95.8302,99.9793,89.2678,95.8302,living,tournament,half,0.1,10,4
2.0,98.1775,99.0784,98.7095,99.9238,93.24,99.0822,89.3854,98.6729,94.3356,99.9014,living,tournament,half,0.1,10,4
3.0,82.4439,99.9836,99.9997,99.7317,98.7366,99.5403,99.7317,91.2502,89.2678,99.3885,living,tournament,half,0.1,10,4
4.0,99.7696,99.4787,99.9744,98.8163,98.0006,99.9883,93.6395,99.9014,99.9939,99.3011,living,tournament,half,0.1,10,4
5.0,99.9744,99.9014,99.9647,99.6328,99.9443,95.9357,98.1176,99.8202,92.9987,91.1196,living,tournament,half,0.1,10,4
6.0,98.4871,98.4525,32.8584,97.7739,99.8747,99.9929,92.8604,99.9443,99.9592,97.5162,living,tournament,half,0.1,10,4
7.0,99.1462,93.4054,99.0239,99.9027,83.3373,98.9555,83.6946,99.9948,80.763,96.0319,living,tournament,half,0.1,10,4
8.0,98.1775,89.5671,97.6037,99.7993,99.9489,97.7739,83.2228,97.9033,97.2178,93.2088,living,tournament,half,0.1,10,4
9.0,98.992,85.772,89.3594,99.8747,97.5225,97.8155,98.7856,76.7097,97.4208,94.6454,living,tournament,half,0.1,10,4
10.0,99.0,96.0,96.0,98.0,99.0,97.0,100.0,100.0,89.0,89.0,living,tournament,half,0.1,10,4
