rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.9896,99.9027,99.9676,99.9951,99.9182,99.9647,99.8911,99.99,99.9945,99.7019,99.9896,99.975,99.9962,99.9345,99.9738,99.9355,99.9631,99.9977,99.9345,99.9624,99.8479,99.9846,99.9975,99.9375,99.9879,99.9981,99.9982,99.9992,99.8718,100.0,99.975,99.9936,99.8269,99.8556,99.9815,99.6997,100.0,99.9948,99.9875,99.8368,99.9757,99.9992,99.9804,99.8495,99.9904,99.9948,99.982,99.7062,99.883,99.9216,99.987,99.8989,99.9942,99.9724,99.987,99.9999,99.91,99.9669,99.9986,99.8963,99.9939,99.9971,99.9826,99.9731,99.8286,99.8747,99.9998,99.9414,99.9798,99.9731,99.9744,99.9915,99.9182,99.9345,99.6328,99.9324,99.8761,99.9525,99.6081,99.9303,99.9936,99.8817,99.9124,99.9592,99.9676,99.987,99.5618,99.8463,99.9576,99.9966,99.9999,99.9683,99.9999,99.9647,99.9744,99.96,99.8704,99.9984,99.9996,99.9964
2,99.7696,99.3309,99.6106,99.8046,99.4132,99.4612,99.91,99.7233,98.9799,99.4787,99.6031,99.8335,99.5904,99.6589,99.6472,99.8099,99.3696,98.8975,99.0861,99.6448,99.7191,99.6796,99.4987,98.4969,99.5403,99.7791,99.1276,99.9124,98.9184,99.598,99.291,99.7296,98.9555,99.4435,99.6589,99.51,99.0159,98.2629,99.4435,99.321,99.5403,98.6683,99.4224,99.8495,99.7254,99.5239,99.4671,99.5403,99.7127,99.9039,99.5538,99.9787,99.3978,98.8933,99.7677,99.8046,99.781,99.5511,99.6909,99.2741,99.2079,99.1499,99.3664,98.9017,99.593,99.5211,98.6958,99.6705,98.9677,99.8884,99.6279,99.1351,98.7186,99.5644,99.3853,98.8249,99.4873,99.1936,99.3791,99.7847,99.8571,99.4729,99.8219,99.3822,99.9051,99.3177,99.3504,99.9951,99.8116,99.3978,99.3309,99.1719,99.1828,99.0975,99.9639,99.6953,99.7866,99.8352,99.9088,99.9216
3,99.0435,99.4845,99.012,98.9308,98.8722,99.2978,98.6913,98.5018,99.0513,98.8032,98.4822,99.623,99.1462,98.9101,99.0861,99.004,98.9017,98.9101,98.5165,98.4375,98.714,98.1176,98.6311,98.7501,98.9473,99.3916,99.1351,97.8917,99.1499,98.7944,98.7456,98.8933,99.0707,99.0159,98.5262,98.6311,98.8293,99.0239,98.5839,99.2466,98.7768,98.6217,99.321,98.5839,99.2185,99.2256,98.4871,98.4124,99.0707,99.0552,98.8163,98.7988,99.3664,98.7944,99.2396,98.7635,98.9267,99.4254,98.6498,98.5359,98.8508,98.4023,98.8849,98.7321,99.5294,98.9059,98.6451,99.598,98.7501,98.9142,99.2008,99.0357,98.8336,98.705,98.4375,98.6404,98.9059,99.1013,99.215,98.7944,98.6637,98.8679,99.3044,98.3616,98.6958,98.8594,97.8391,98.8679,98.8163,98.4475,99.1828,98.6498,98.8249,99.0239,99.2361,99.2431,99.0,98.3462,98.6867,98.8679
