rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.6997,99.6751,99.5349,99.7148,99.5878,99.6842,99.5723,99.7233,99.4465,99.5591,99.6864,99.6081,99.5072,99.6796,99.8416,99.3947,99.4194,99.7696,99.7041,99.7041,99.5878,99.7399,99.6774,99.64,99.5749,99.3916,99.6705,99.6796,99.851,99.6352,99.8269,99.3916,99.6728,99.6181,99.3309,99.7084,99.5955,99.5321,99.4612,99.623,99.6796,99.6106,99.7657,99.5184,99.7212,99.5775,99.4405,99.7062,99.3978,99.5016,99.6352,99.6106,99.7657,99.7638,99.6056,99.6636,99.5801,99.6376,99.6328,99.5644,99.717,99.7734,99.7579,99.4902,99.5403,99.3947,99.6131,99.7127,99.6495,99.4612,99.7753,99.6081,99.8134,99.6997,99.7275,99.6589,99.7233,99.6352,99.6131,99.7902,99.6931,99.5321,99.4285,99.7254,99.5376,99.5853,99.5072,99.5484,99.4102,99.3759,99.7062,99.6796,99.4554,99.3822,99.4729,99.6056,99.6081,99.4816,99.5801,99.6081
2,99.4554,99.5294,99.3144,99.7657,99.3078,99.2008,99.4009,99.5538,99.3885,99.3471,99.3243,99.4612,99.3791,99.6006,99.5591,99.5853,99.5723,99.4873,99.4285,99.6328,99.5349,99.3144,99.4845,99.3916,99.6495,99.4465,99.5156,99.6796,99.64,99.5775,99.47,99.5484,99.3341,99.2843,99.4285,99.7019,99.5294,99.5904,99.4375,99.4758,99.404,99.6328,99.4931,99.25,99.6031,99.3978,99.6156,99.4931,99.5156,99.2043,99.4873,99.4163,99.3947,99.6376,99.4102,99.3111,99.3471,99.2326,99.4465,99.3727,99.2843,99.4671,99.404,99.7638,99.5016,99.5618,99.4931,99.2535,99.6181,99.6181,99.6864,99.7062,99.5457,99.2809,99.4931,99.36,99.3407,99.4375,99.3111,99.6081,99.6566,99.2809,99.5853,99.2944,99.4465,99.623,99.5072,99.5564,99.5294,99.4102,99.7127,99.623,99.6613,99.6031,99.4931,99.5128,99.7019,99.6997,99.2944,99.1936
3,99.9962,99.9996,99.9892,99.9994,100.0,99.9956,99.9984,99.9798,99.9994,99.9793,99.9875,99.9999,99.9826,99.9982,99.9851,99.9999,99.9951,99.9999,100.0,99.9987,99.9861,99.9964,99.9977,99.9939,100.0,99.9896,99.9875,99.9929,99.9865,99.987,99.9915,99.9954,99.9971,99.9875,99.9851,99.9948,99.969,99.9998,99.9964,99.9303,99.9964,99.9997,99.9744,99.9992,99.9992,99.9452,99.9945,99.9981,99.99,99.9997,99.9981,99.96,99.9975,99.9654,99.9942,99.9956,99.948,99.9815,99.9966,99.9676,99.9996,99.9996,99.9999,99.9826,99.987,99.9856,99.9999,99.9951,99.9979,100.0,99.9971,99.9923,99.9951,99.9959,99.9936,99.969,99.9969,99.9993,99.9995,99.9975,99.9994,99.9971,99.9959,99.987,99.9964,99.9962,100.0,99.9919,99.9962,100.0,100.0,99.9987,99.987,99.9997,99.9986,99.9669,99.9731,99.9939,99.999,100.0
