generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.9434,98.5018,0.0,99.9624,0.0,99.9757,93.8099,1.8712,95.8547,99.8631,living,weighted,half,0.1,10,4
1.0,99.5044,95.8384,97.0553,96.8812,97.8859,97.2643,98.1937,97.5664,98.9473,97.1371,living,weighted,half,0.1,10,4
2.0,96.1819,94.4304,98.4023,99.7337,94.8834,99.4873,96.9024,79.2611,85.4687,82.7277,living,weighted,half,0.1,10,4
3.0,71.1201,78.2471,99.8761,97.2178,99.7337,99.9216,80.5695,85.5904,99.9051,97.5851,living,weighted,half,0.1,10,4
4.0,22.4191,99.9124,97.1843,97.1709,99.3044,79.804,97.8801,96.86,99.9936,88.1939,living,weighted,half,0.1,10,4
5.0,99.2535,99.9969,99.6886,94.5431,88.4672,97.1843,99.4405,99.9879,99.9124,99.3309,living,weighted,half,0.1,10,4
6.0,99.8352,99.9936,99.2809,99.4405,94.5431,99.9124,98.0956,51.8642,78.0227,91.0957,living,weighted,half,0.1,10,4
7.0,93.589,99.948,99.0239,99.5697,92.5689,93.5484,83.3862,99.9334,98.079,99.9124,living,weighted,half,0.1,10,4
8.0,99.4405,64.024,99.9936,97.732,93.76,99.9238,67.3502,98.7456,99.9227,97.8742,living,weighted,half,0.1,10,4
9.0,98.6821,99.9936,97.8096,99.6006,99.3011,98.3769,97.1843,97.8391,95.6235,52.1413,living,weighted,half,0.1,10,4
10.0,93.0,99.0,98.0,85.0,94.0,98.0,86.0,96.0,100.0,82.0,living,weighted,half,0.1,10,4
