generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,75.1199,98.1558,86.0722,2.0296,100.0,99.5904,99.748,99.4254,96.5553,95.7893,living,random,half,0.1,10,4
1.0,98.4772,1.5936,99.8924,83.3209,99.7734,77.3614,82.2085,84.6022,98.9059,87.1119,living,random,half,0.1,10,4
2.0,88.6296,75.6951,99.9883,99.9956,67.0754,97.738,99.3632,99.8335,84.1118,94.71,living,random,half,0.1,10,4
3.0,98.6404,80.4459,75.0999,75.5569,96.4881,1.2759,77.8159,80.0548,98.6451,4.508,living,random,half,0.1,10,4
4.0,98.2944,94.71,91.0,95.8791,76.9792,6.9161,97.5602,93.9877,96.0399,26.5551,living,random,half,0.1,10,4
5.0,73.7241,99.7275,75.3587,80.9904,10.6597,99.6931,4.508,85.7418,97.8214,0.0,living,random,half,0.1,10,4
6.0,96.2053,7.4556,95.8628,82.5777,99.4612,99.7275,5.91,80.4636,12.3155,99.6613,living,random,half,0.1,10,4
7.0,99.6842,5.2492,88.951,92.7531,75.7148,78.9686,84.8523,75.4975,93.8793,13.2867,living,random,half,0.1,10,4
8.0,85.1775,73.2504,16.131,36.7021,98.8551,98.56,93.2296,80.7805,98.1558,95.6068,living,random,half,0.1,10,4
9.0,89.0968,68.3031,91.6363,89.0968,76.4581,3.4104,77.1516,90.3155,76.4581,98.56,living,random,half,0.1,10,4
10.0,99.0,100.0,94.0,99.0,71.0,82.0,97.0,0.0,82.0,84.0,living,random,half,0.1,10,4
