generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,23.3325,83.4839,81.4411,21.5713,96.6364,94.9914,92.6016,99.0,99.8761,85.3004,living,tournament,half,0.1,10,4
1.0,96.1584,99.7791,99.6031,98.5504,98.6404,92.4814,94.2208,94.0756,99.948,99.9836,living,tournament,half,0.1,10,4
2.0,91.7631,99.8963,98.8722,56.7562,99.9948,63.7837,79.3157,99.4816,98.6867,99.4959,living,tournament,half,0.1,10,4
3.0,98.3256,96.9585,92.71,99.8541,99.7127,99.2843,99.8541,99.8541,3.8816,99.0474,living,tournament,half,0.1,10,4
4.0,93.2296,99.8236,99.7106,99.9851,85.3464,99.9355,98.3462,98.9555,97.4719,97.4079,living,tournament,half,0.1,10,4
5.0,99.9851,99.9314,99.9982,99.5564,98.8722,98.6683,98.8594,99.8352,96.8812,98.4023,living,tournament,half,0.1,10,4
6.0,98.7812,98.9142,99.5457,99.9979,98.9226,99.7212,92.8604,98.8722,99.7715,99.8924,living,tournament,half,0.1,10,4
7.0,99.3439,98.2629,97.8917,95.9519,99.4524,99.9414,98.2734,99.7233,99.4787,99.4554,living,tournament,half,0.1,10,4
8.0,99.2291,99.9385,99.9414,98.996,99.321,99.9979,99.9088,99.9471,99.9584,99.717,living,tournament,half,0.1,10,4
9.0,99.9966,99.7148,93.5586,99.9979,99.8099,97.8859,98.145,99.2008,99.9238,99.999,living,tournament,half,0.1,10,4
10.0,95.0,100.0,98.0,93.0,100.0,100.0,100.0,100.0,96.0,89.0,living,tournament,half,0.1,10,4
