generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,88.5485,99.2256,100.0,94.2688,99.2809,99.6255,93.74,92.0024,96.5627,97.2907,living,best,half,0.1,10,4
1.0,99.7599,99.8556,98.2944,99.9088,99.6589,99.9683,98.9184,99.9088,99.9977,99.004,living,best,half,0.1,10,4
2.0,99.9865,99.9136,99.6255,99.9936,99.717,99.7062,99.5644,98.8679,95.3517,99.9865,living,best,half,0.1,10,4
3.0,99.9999,96.8742,97.7139,97.5664,99.9923,99.8368,99.3536,100.0,99.8817,99.3044,living,best,half,0.1,10,4
4.0,99.9994,99.9775,99.9775,99.9775,99.9896,99.9516,100.0,99.4071,99.1719,99.9915,living,best,half,0.1,10,4
5.0,99.9489,99.9471,99.8571,94.8834,99.9964,98.617,99.8733,99.9787,98.6867,98.8551,living,best,half,0.1,10,4
6.0,99.4494,95.9277,99.3504,32.0365,98.5359,99.746,99.6953,99.6519,97.5975,97.0896,living,best,half,0.1,10,4
7.0,98.3411,99.6519,97.9379,95.1159,99.6819,21.7129,98.1066,99.9904,99.6543,99.9385,living,best,half,0.1,10,4
8.0,97.5351,99.0474,99.9826,99.3947,99.9639,99.4254,99.5184,99.9926,92.3603,99.9249,living,best,half,0.1,10,4
9.0,99.7127,99.8675,99.9704,99.8675,99.9088,99.9926,99.9567,99.9912,96.7959,99.6279,living,best,half,0.1,10,4
10.0,100.0,99.0,100.0,93.0,98.0,98.0,97.0,100.0,97.0,99.0,living,best,half,0.1,10,4
