generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.2043,99.9883,97.1641,99.752,99.9592,78.0227,90.4272,85.8474,97.9091,38.5971,living,best,half,0.1,10,4
1.0,98.9839,81.2511,91.4268,99.0552,80.3574,98.6867,98.1558,99.1719,78.3589,97.5225,living,best,half,0.1,10,4
2.0,99.7884,95.4886,99.9112,96.3136,99.9962,87.1119,99.6472,99.7884,21.3231,99.7884,living,best,half,0.1,10,4
3.0,99.9919,99.6352,99.7062,98.3152,99.2978,97.1709,99.4254,98.8849,99.9763,94.402,living,best,half,0.1,10,4
4.0,99.404,99.9915,99.9962,99.6303,98.7768,98.8849,99.4285,99.8646,97.6835,99.9991,living,best,half,0.1,10,4
5.0,99.7734,99.1573,0.0,98.6683,96.6803,99.9994,99.9996,97.8917,99.9647,97.0759,living,best,half,0.1,10,4
6.0,99.9088,99.7212,97.9206,99.215,99.36,95.8547,96.7094,99.3536,77.3424,99.8384,living,best,half,0.1,10,4
7.0,99.9919,99.3011,93.6899,98.1721,99.9414,99.6156,96.6364,98.9799,99.6352,92.9881,living,best,half,0.1,10,4
8.0,95.343,96.2905,98.0568,99.9994,56.4928,99.75,99.3309,99.5457,96.5478,97.0071,living,best,half,0.1,10,4
9.0,30.4444,99.5457,99.6886,99.5457,99.2843,96.7816,99.9966,97.4336,98.0512,99.9567,living,best,half,0.1,10,4
10.0,100.0,99.0,100.0,2.0,100.0,97.0,100.0,100.0,93.0,100.0,living,best,half,0.1,10,4
