rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.623,99.6997,99.5267,99.7275,99.8556,99.8099,99.51,99.8718,99.8202,99.6376,99.8168,99.8099,99.748,99.8463,99.6543,99.8432,99.7791,99.8064,99.9171,99.8601,99.7191,99.7337,99.7084,99.9076,99.9159,99.7921,99.8803,99.5294,99.5827,99.8384,99.8011,99.3727,99.5156,99.6997,99.8319,99.7957,99.7696,99.7715,99.8082,99.8571,99.6796,99.8368,99.5904,99.8082,99.7254,99.8898,99.598,99.748,99.6751,99.866,99.8803,99.8269,99.7884,99.6303,99.6181,99.5591,99.8556,99.8432,99.8937,99.4873,99.8448,99.84,99.75,99.7734,99.8064,99.7975,99.744,99.6819,99.8416,99.8269,99.6796,99.6728,99.5644,99.7419,99.6796,99.748,99.6056,99.6495,99.5457,99.9171,99.7579,99.7772,99.8976,99.5511,99.5211,99.5156,99.7939,99.4642,99.5538,99.6156,99.6728,99.5016,99.5128,99.9171,99.8151,99.754,99.8844,99.7579,99.3177,99.6953
2,99.84,99.9865,99.9926,99.9969,99.6613,99.9051,99.9923,99.6081,99.91,99.7106,99.8704,99.9915,99.9355,99.9912,99.9088,99.9986,99.8463,99.4315,99.7638,99.404,99.9879,99.9171,99.8616,99.9904,99.9861,99.9414,99.7957,99.9977,99.9999,99.9624,99.9584,99.8448,99.9994,99.9865,99.9939,99.9551,99.7993,99.9462,99.8236,99.9704,99.987,99.9904,99.9744,99.8601,99.9576,99.9936,99.9915,99.9711,99.8046,99.8963,99.9781,99.999,99.9996,99.9443,99.9027,99.9865,99.9995,99.4642,99.9969,99.9912,99.9683,99.6543,99.9998,99.8898,99.8416,99.9039,99.8134,99.9704,99.9923,99.717,99.5904,99.9227,99.7734,99.7599,99.9793,99.9982,99.9948,100.0,99.75,99.6519,99.754,99.9443,99.9592,99.8675,99.8029,99.9769,99.9787,99.9971,99.9883,99.9999,99.9883,99.9956,99.982,99.9999,99.9631,99.8495,99.9919,99.7939,99.969,99.2326
3,99.8989,99.883,99.9216,99.9282,99.75,99.9592,99.7696,99.9064,99.8871,99.9051,99.9793,99.8082,99.8046,99.9846,99.7019,99.8448,99.9147,99.8761,99.6424,99.9498,99.869,99.866,99.8541,99.7337,99.9904,99.5239,99.8571,99.8168,99.9227,99.9966,99.8368,99.9826,99.9076,99.8924,99.8646,99.8976,99.8219,99.9355,99.8601,99.8989,99.9452,99.5538,99.9775,99.8134,99.9647,99.8963,99.9711,99.7753,99.8303,99.9424,99.9227,99.8168,99.7696,99.8586,99.6376,99.8185,99.4987,99.9951,99.9956,99.5827,99.6659,99.8029,99.8011,99.96,99.9414,99.8082,99.5827,99.9205,99.6255,99.8871,99.7772,99.895,99.9676,99.9986,99.9584,99.6886,99.8116,99.567,99.8898,99.8219,99.7921,99.7791,99.8064,99.8319,99.9345,99.8601,99.8099,99.8319,99.8733,99.9314,99.7337,99.7127,99.9865,99.9434,99.6774,99.9846,99.7233,99.8761,99.754,99.9676
