rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.9616,99.9861,99.9959,99.9769,99.9697,99.9793,99.9631,99.9998,99.9988,99.9879,99.9861,99.9815,99.9892,99.9915,99.9977,99.9992,99.9971,99.9875,99.9954,99.9988,100.0,99.9551,99.9471,99.9908,99.999,99.9826,99.9826,99.9982,99.8747,99.9904,99.9982,99.9988,99.9945,99.9999,99.9956,99.9979,99.9443,99.9997,99.9908,99.9971,99.9999,99.9704,99.9846,99.9731,100.0,99.9892,99.9757,99.9915,99.9956,99.9951,99.9744,99.9973,99.9908,99.9731,99.9904,99.9875,99.9826,99.9992,99.9559,99.9993,99.9926,99.9567,99.8937,99.9912,99.9249,99.9936,99.9027,99.9929,99.9836,99.9986,99.9345,99.9724,99.9787,99.982,99.9988,99.987,99.9977,99.9992,99.9929,99.9971,99.9888,99.9926,99.9954,99.9676,99.9979,99.9861,99.9977,99.9997,99.9608,99.99,99.9945,99.9836,99.9999,99.9851,99.9954,99.9039,99.9973,99.9987,100.0,100.0
2,99.8253,99.8646,99.9193,99.7358,99.7939,99.8789,99.9193,99.7638,99.969,99.9883,99.8319,99.8616,99.8432,99.8817,99.8718,99.9271,99.7753,99.8675,99.9292,99.9616,99.8733,99.7975,99.781,99.9001,99.8432,99.7148,99.8202,99.9804,99.8817,99.8479,99.6303,99.8989,99.7317,99.781,99.8082,99.7884,99.8335,99.8384,99.8675,99.7715,99.8789,99.9434,99.5904,99.7884,99.7939,99.8064,99.8168,99.8761,99.8082,99.9249,99.8011,99.8064,99.926,99.8416,99.8236,99.8082,99.8011,99.7419,99.8384,99.7975,99.9516,99.8858,99.6953,99.8046,99.7106,99.8775,99.8616,99.7062,99.8046,99.6303,99.7233,99.8884,99.8253,99.7753,99.8082,99.64,99.9592,99.8556,99.9525,99.8168,99.8898,99.8463,99.7148,99.7939,99.7638,99.9088,99.8924,99.8368,99.7734,99.8775,99.84,99.84,99.7847,99.9076,99.8463,99.7127,99.8269,99.781,99.9159,99.8099
3,99.7772,99.6975,99.7358,99.7254,99.4845,99.4729,99.6519,99.5697,99.5072,99.4931,99.5591,99.7041,99.4071,99.4345,99.4071,99.4873,99.6106,99.6448,99.0239,99.5484,99.5349,99.3536,99.2944,99.5239,99.2535,99.6006,99.4873,99.5457,98.8891,99.2256,99.1089,99.6682,99.4554,99.0513,99.2291,99.3504,99.5349,99.5457,99.2291,99.2775,99.6156,99.0822,99.6255,99.6279,99.5511,99.4873,99.4435,99.717,99.2256,99.5072,99.7106,99.2775,99.3439,99.3696,99.3727,99.3177,98.9308,99.2707,99.3568,99.6589,99.7275,99.3276,99.3664,99.2466,99.5591,99.4163,99.593,99.781,99.3011,99.5827,99.6448,99.4583,99.4254,99.5618,99.7041,99.4345,99.3916,99.3243,99.1573,99.3177,99.5801,99.4612,99.1388,99.3978,99.4642,99.4729,99.5156,99.1051,99.2221,99.6636,99.4816,99.3309,99.0707,99.6031,99.6255,99.4465,99.5184,99.0707,99.3407,99.4071
