generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.5775,83.8235,91.3682,92.4924,89.9003,90.5259,93.4464,83.6461,99.4524,98.8722,living,tournament,half,0.1,10,4
1.0,99.9997,99.9997,91.0838,96.5701,99.869,98.9677,99.5591,82.4104,98.9432,97.5288,living,tournament,half,0.1,10,4
2.0,99.3947,99.8368,96.8173,97.5036,98.9308,99.6566,99.9841,99.2291,99.981,99.7696,living,tournament,half,0.1,10,4
3.0,96.2982,93.9779,95.7646,99.9027,8.3768,93.3642,99.9027,97.8626,97.7139,85.085,living,tournament,half,0.1,10,4
4.0,84.9456,98.5981,99.9303,9.5979,88.44,88.6296,99.9994,99.7696,77.1516,96.607,living,tournament,half,0.1,10,4
5.0,99.9303,99.7696,94.7192,91.809,87.778,99.7062,14.6594,94.4398,99.1499,98.9799,living,tournament,half,0.1,10,4
6.0,97.2709,98.9184,86.102,99.975,97.1843,84.0,99.2673,99.4845,96.4956,83.2883,living,tournament,half,0.1,10,4
7.0,81.0949,99.0822,97.1709,78.2471,99.9385,99.8858,63.4701,98.7545,24.2404,99.2291,living,tournament,half,0.1,10,4
8.0,99.5294,98.5696,99.9385,99.9525,99.5267,95.7482,69.0864,99.9124,76.4387,92.5471,living,tournament,half,0.1,10,4
9.0,92.4045,92.9775,94.7008,99.2673,97.2775,99.2673,11.5272,90.7948,75.8133,90.5259,living,tournament,half,0.1,10,4
10.0,100.0,100.0,92.0,100.0,100.0,92.0,85.0,96.0,100.0,92.0,living,tournament,half,0.1,10,4
