generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,11.3389,96.8245,98.2891,67.3959,91.3682,95.036,96.6803,74.0919,70.9695,98.4624,living,weighted,half,0.1,10,4
1.0,67.0754,97.3626,78.3589,9.0266,99.9951,96.9445,87.2122,83.6461,89.4245,93.0515,living,weighted,half,0.1,10,4
2.0,79.5696,96.2442,92.1376,77.9476,99.2185,70.9048,87.792,82.5109,71.0125,81.7842,living,weighted,half,0.1,10,4
3.0,99.1314,84.6649,94.8107,87.8339,96.9724,99.7579,82.6944,79.3884,99.7772,99.5564,living,weighted,half,0.1,10,4
4.0,97.5036,98.7545,99.7399,96.7672,99.7619,97.1641,98.8293,97.395,97.3104,97.1709,living,weighted,half,0.1,10,4
5.0,95.5056,98.1011,84.5236,99.5128,99.717,97.5036,99.5591,96.9515,98.7545,99.9576,living,weighted,half,0.1,10,4
6.0,97.8391,97.3104,99.6006,97.6284,99.5128,98.7545,93.0831,84.6493,92.935,94.5897,living,weighted,half,0.1,10,4
7.0,99.8416,94.1242,99.9836,98.996,99.84,93.8099,98.2839,96.3289,99.9533,98.7545,living,weighted,half,0.1,10,4
8.0,97.6284,97.2973,97.3104,90.2656,94.402,94.6269,99.8911,99.7419,92.0701,99.6495,living,weighted,half,0.1,10,4
9.0,99.3759,97.3104,99.6255,99.291,96.9515,83.3862,91.6479,99.9831,97.1304,89.6573,living,weighted,half,0.1,10,4
10.0,100.0,100.0,87.0,100.0,100.0,98.0,100.0,93.0,99.0,98.0,living,weighted,half,0.1,10,4
