rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.5511,99.567,99.9516,99.9704,99.7921,99.8976,99.7619,99.47,99.8963,99.7579,99.748,99.754,99.4285,99.7317,99.7599,99.895,99.4102,99.5723,99.3276,99.8011,99.8236,99.5591,99.8368,99.8082,99.746,99.9112,99.9964,99.8803,99.7599,99.7062,99.5644,99.5072,99.9205,99.5156,99.3341,99.9385,99.9948,99.9345,99.8286,99.3309,99.3439,99.2978,99.291,99.6328,99.4902,99.7212,99.7337,99.9815,99.7619,99.6424,99.982,99.746,99.9992,99.9443,99.5564,99.4583,99.3916,99.7715,99.5072,99.8064,99.8168,99.754,99.8803,99.5801,99.6495,99.9159,99.9711,99.9193,99.8202,99.3407,99.6931,99.7337,99.5484,99.752,99.8463,99.9592,99.2535,99.9942,99.9904,99.9324,99.9991,99.9303,99.9324,99.9424,99.4494,99.7791,99.6589,99.7275,99.2431,99.9775,99.7939,99.8448,99.9781,99.8718,99.8775,99.3471,99.9896,99.8761,99.7715,99.4494
2,99.9757,99.9669,99.9804,99.9711,99.9926,99.9879,99.9919,99.9282,99.8601,99.9718,99.9836,99.9975,99.9303,99.8556,99.8236,99.9787,99.9865,99.9999,99.9576,99.9929,99.9888,99.9683,99.9763,99.9249,99.9683,99.9998,99.8675,99.8871,99.982,99.8704,99.969,99.9919,99.7148,99.9576,99.9171,100.0,100.0,99.9826,99.9997,99.9676,99.9489,99.9919,99.9624,99.9982,99.9763,99.999,99.8803,99.9654,99.9525,99.9303,99.9954,99.9624,99.926,99.9875,99.999,99.9988,99.9992,99.9661,99.9861,99.9282,99.9999,99.9929,99.8236,99.9697,99.9355,99.9826,99.8898,99.9424,99.7939,99.9424,99.9981,99.8871,99.9584,99.9981,99.8989,99.9939,99.9982,99.7866,99.9282,99.9489,99.7212,99.9959,99.9292,99.5697,99.9979,99.8989,99.9971,99.9525,99.9711,99.9395,100.0,99.9769,99.9948,99.9984,99.9365,99.9631,99.7957,99.9405,99.926,99.9851
3,99.593,99.7579,99.781,99.7696,99.7379,99.2221,99.7019,99.8185,99.8134,99.7791,99.7884,99.9282,99.8064,99.7828,99.6864,99.7866,99.8236,99.7062,99.6705,99.7902,99.8368,99.4554,99.5294,99.6705,99.4132,99.7902,99.3374,99.7062,99.6255,99.623,99.9205,99.5775,99.4554,99.8911,99.6543,99.8616,99.7041,99.717,99.6751,99.7275,99.8219,99.6495,99.6682,99.4524,99.6796,99.8871,99.7884,99.7106,99.6376,99.7212,99.7317,99.75,99.7975,99.5618,99.4758,99.7062,99.5239,99.7337,99.8675,99.7212,99.7921,99.6886,99.7337,99.5349,99.8011,99.7106,99.8236,99.7233,99.567,99.5955,99.7084,99.3853,99.7657,99.7579,99.6205,99.4758,99.7084,99.5538,99.7677,99.8219,99.6842,99.7753,99.7939,99.8303,99.756,99.6448,99.6997,99.7084,99.6279,99.6352,99.752,99.4071,99.5376,99.6519,99.8219,99.5211,99.752,99.851,99.8479,99.5801
