rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.5211,99.6472,99.8817,99.6774,99.7847,99.8556,99.8844,99.7148,99.9405,99.9424,99.6156,99.6352,99.7191,99.9249,99.84,99.7254,99.8416,99.8495,99.7957,99.7191,99.8029,99.8704,99.8046,99.8046,99.756,99.593,99.7715,99.8029,99.8046,99.7419,99.744,99.7399,99.8335,99.5904,99.9345,99.7715,99.9769,99.8303,99.9385,99.9793,99.8675,99.9249,99.7296,99.9227,99.752,99.9238,99.8541,99.8541,99.7041,99.9182,99.8858,99.6613,99.754,99.8134,99.9027,99.8747,99.748,99.8747,99.8541,99.6352,99.8269,99.6705,99.9498,99.8963,99.8384,99.5591,99.8236,99.7317,99.9434,99.8586,99.9498,99.6864,99.7696,99.7734,99.8761,99.7579,99.8616,99.9608,99.7106,99.91,99.8253,99.8541,99.6352,99.781,99.866,99.987,99.7084,99.7599,99.7638,99.7399,99.7041,99.8479,99.3471,99.9039,99.8911,99.754,99.8448,99.8601,99.5016,99.8963
2,99.8675,99.8601,99.1573,99.7638,99.9836,99.883,99.6842,99.8704,99.9996,99.7254,99.969,99.6751,99.8718,99.9282,99.9982,99.8884,99.9757,99.754,99.7148,99.9434,99.9434,99.8963,99.9238,99.9861,99.6909,99.8432,99.7619,99.9182,99.9815,99.9738,99.9908,99.6566,99.8631,99.9205,99.8286,99.9841,99.9661,99.9452,99.9631,99.9846,99.9592,99.9793,99.9836,99.9525,99.9995,99.8733,99.9631,99.6589,99.7696,99.9385,99.9775,99.9271,99.9616,99.9912,99.9238,99.7791,99.9271,99.9584,99.9951,99.9724,99.9112,100.0,99.8011,99.9498,99.84,99.9112,99.4873,99.9039,99.6613,99.9292,99.9826,99.9027,99.9923,99.969,99.8556,99.5016,99.752,99.9775,99.9999,99.9959,99.9945,99.9227,99.9861,99.9452,99.9516,99.9912,99.9182,99.6328,99.851,99.9193,99.8253,99.6909,99.8963,99.9697,99.9841,99.9988,99.8803,99.9982,99.6181,99.7419
3,99.9738,99.9216,99.8775,99.9986,99.9639,99.9551,99.9452,99.9076,99.9592,99.9908,99.9744,99.9159,99.9711,99.8704,99.9375,99.8011,99.987,99.981,99.9462,99.9738,99.9654,99.969,99.8844,99.9608,99.8775,99.8747,99.9443,99.9324,99.9661,99.9249,99.9718,99.9896,99.9683,99.9405,99.8761,99.9669,99.9039,99.9704,99.9979,99.9395,99.9112,99.9064,99.9112,99.9434,99.9434,99.9738,99.9559,99.9995,99.9064,99.9216,99.9996,99.9804,99.9182,99.8858,99.9334,99.9051,99.9731,99.9533,99.9841,99.9995,99.9995,99.9355,99.9385,99.9999,99.9826,99.9216,99.9136,99.9014,99.969,99.9592,99.9027,99.883,99.9896,99.9787,99.9798,99.9787,99.9711,99.9892,99.8335,99.9744,99.8601,99.9661,99.9757,99.9303,99.9915,99.9584,99.975,99.9883,99.9896,99.9846,99.8099,99.9959,99.9936,99.9592,99.9977,99.9516,100.0,99.9826,99.8733,99.9815
