generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,86.7067,98.2204,96.533,21.7129,99.9559,45.6831,98.5744,27.716,96.8883,15.36,living,random,half,0.1,10,4
1.0,89.3594,81.5959,93.041,98.8764,96.1191,92.8176,88.2762,17.2992,99.9846,1.5936,living,random,half,0.1,10,4
2.0,98.4074,99.1683,96.5255,90.6609,99.8747,89.4115,96.9375,91.8775,99.2673,93.24,living,random,half,0.1,10,4
3.0,89.3724,82.1409,91.8661,84.5865,88.8177,79.5696,97.756,99.3144,99.9443,61.7829,living,random,half,0.1,10,4
4.0,98.6123,93.24,99.1864,90.1655,99.5294,30.9107,99.4845,99.8011,6.6071,97.9949,living,random,half,0.1,10,4
5.0,97.7017,99.4554,99.9507,98.7723,24.5881,99.3791,61.7829,78.6556,97.8801,74.1733,living,random,half,0.1,10,4
6.0,97.1843,26.4865,82.2253,94.1242,85.9974,99.4554,35.6475,99.0396,44.3186,16.3507,living,random,half,0.1,10,4
7.0,87.8199,38.0316,94.4115,99.7212,64.8825,98.1667,99.1828,99.4254,99.6613,54.5994,living,random,half,0.1,10,4
8.0,99.6842,99.1276,20.8968,20.5406,99.7062,92.8283,99.9919,99.4642,98.9059,99.9661,living,random,half,0.1,10,4
9.0,99.5376,98.8764,87.3833,99.5376,98.992,41.1404,92.7639,99.5538,98.992,92.8283,living,random,half,0.1,10,4
10.0,92.0,94.0,99.0,93.0,99.0,98.0,99.0,98.0,88.0,100.0,living,random,half,0.1,10,4
