rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.9991,99.9995,99.9991,99.9994,99.9964,99.9926,100.0,99.9999,99.9984,99.9984,99.9992,99.9995,99.9999,99.9995,99.9912,99.9999,99.9996,99.9991,99.9951,99.999,99.999,99.9999,99.9982,99.9977,99.9994,99.9991,99.9999,99.9981,99.9994,99.9977,99.9969,100.0,100.0,99.9995,99.9999,99.9996,99.9964,99.9988,99.9997,99.9999,99.9981,99.9975,99.9979,99.9959,99.9995,100.0,99.9975,99.9986,99.9999,99.9969,99.9981,99.9999,99.9997,99.9999,99.9995,99.9992,99.9984,99.9998,99.9975,99.9993,99.9999,100.0,99.9979,99.9997,99.9973,99.9997,99.9948,99.9977,100.0,99.9991,99.9998,100.0,99.999,100.0,99.9998,99.9981,99.9997,99.9999,99.9998,99.9993,99.9998,100.0,99.9988,100.0,99.9998,99.9999,99.9997,99.9956,99.9973,99.9995,99.9997,100.0,99.9966,99.9991,99.9991,99.9999,99.9994,99.9999,99.9979,99.9987
2,98.6683,99.0317,99.1388,99.6181,99.4132,99.2291,99.6448,99.5538,99.75,99.2396,98.6498,99.4224,99.5376,99.4612,99.2079,99.4787,99.2466,99.0899,99.3011,99.4583,99.1536,99.2466,99.0396,99.0,99.1755,99.5644,98.7768,99.4554,99.5564,99.1314,99.2944,99.5618,99.7254,99.1276,99.3177,99.5775,99.744,99.1864,99.404,99.4787,99.4224,99.2877,99.2673,98.9759,99.2043,99.2775,99.4224,99.3791,99.1719,99.4524,99.3791,98.9677,99.0,99.4787,99.2008,98.8508,99.3439,99.3632,99.3471,99.0975,99.3727,99.2008,98.9226,99.1573,99.4758,99.6543,99.51,98.7004,99.5591,99.5184,99.4102,99.0317,98.7456,98.8891,99.3309,99.3664,99.7062,99.2185,99.1936,98.79,99.0357,99.2775,99.2604,99.2396,99.0784,99.1276,99.4873,98.8551,99.4758,99.4671,99.3536,99.1972,99.3916,99.3243,99.3759,99.3791,98.9142,99.4315,99.6106,99.4071
3,99.0159,98.4969,98.8119,99.0822,98.8206,98.6867,98.5407,98.9226,98.8722,98.79,99.1276,98.6867,98.56,98.617,98.8508,97.7139,98.6498,98.1558,98.6544,99.0784,98.7768,98.5116,98.6867,98.7411,98.6404,98.4023,98.5504,99.0937,98.5456,99.0396,98.9308,98.7276,98.247,98.935,98.4375,98.7856,98.4124,98.31,99.2079,98.5981,98.5791,98.3718,99.063,98.4124,98.6029,98.2523,98.7004,99.2431,98.5791,98.6958,98.3411,98.2734,98.8075,98.6076,98.8206,98.3307,98.7004,98.8465,98.492,98.247,98.1937,98.7944,98.6958,98.1883,98.5262,99.1828,99.0357,98.6544,98.8508,98.4525,98.5311,98.3922,98.7231,98.7812,98.9059,98.705,98.3565,98.5213,98.3359,99.0784,98.3769,98.5359,98.7988,98.7944,98.3513,98.7501,98.8293,98.3922,98.6637,98.9555,98.7723,98.5407,98.4574,98.8722,98.8636,98.4074,98.3565,98.5262,98.7944,98.5311
