generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,85.772,96.7887,92.4485,90.9037,94.402,99.7828,93.0515,32.2012,98.7276,8.0319,living,random,half,0.1,10,4
1.0,5.2882,70.2102,9.0647,96.3289,20.0049,0.0,98.3048,94.4963,98.4772,94.599,living,random,half,0.1,10,4
2.0,98.4674,98.2311,42.6042,93.909,98.9432,59.9311,89.6445,67.1442,6.9933,19.7901,living,random,half,0.1,10,4
3.0,28.3607,99.84,0.0,93.3436,99.9724,78.6556,3.0169,5.91,97.2907,96.6876,living,random,half,0.1,10,4
4.0,11.1128,19.7901,19.7542,99.6424,99.1864,98.6311,41.6915,8.4534,99.9769,99.9542,living,random,half,0.1,10,4
5.0,94.1629,33.153,97.8508,6.2976,99.9933,99.3243,96.6876,82.36,85.56,99.1792,living,random,half,0.1,10,4
6.0,0.0,97.1304,90.8917,45.742,85.8774,33.153,80.0548,6.375,95.0449,99.8151,living,random,half,0.1,10,4
7.0,85.2544,99.8718,43.78,76.5938,99.598,20.4693,39.3471,32.3,10.5841,95.8628,living,random,half,0.1,10,4
8.0,81.51,97.5099,99.9926,99.981,99.6255,62.2267,90.4519,24.727,99.2535,85.9675,living,random,half,0.1,10,4
9.0,99.1864,1.9504,63.4942,99.1864,3.489,76.9984,95.3689,99.6751,3.489,62.2267,living,random,half,0.1,10,4
10.0,71.0,15.0,86.0,62.0,2.0,25.0,100.0,100.0,100.0,91.0,living,random,half,0.1,10,4
