rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.9697,99.9576,99.9676,99.9865,99.9608,99.9676,99.9676,99.9669,99.9724,99.96,99.9647,99.9471,99.9292,99.9551,99.975,99.9576,99.9883,99.9385,99.9631,99.96,99.9683,99.9576,99.9631,99.9631,99.969,99.9592,99.9434,99.975,99.9489,99.969,99.948,99.948,99.9654,99.948,99.9676,99.9405,99.9769,99.969,99.9592,99.9654,99.975,99.9647,99.9711,99.9697,99.9584,99.9731,99.982,99.9542,99.9616,99.9661,99.9775,99.9676,99.9624,99.9683,99.9647,99.9769,99.96,99.9584,99.9815,99.9787,99.9724,99.982,99.9624,99.9683,99.96,99.9624,99.9718,99.9533,99.9647,99.9683,99.9676,99.9851,99.9815,99.96,99.9718,99.969,99.9452,99.975,99.9798,99.9787,99.9608,99.9584,99.9631,99.9551,99.9489,99.9584,99.9631,99.9639,99.9781,99.9324,99.9683,99.96,99.9452,99.9584,99.9424,99.9525,99.9798,99.9443,99.9744,99.9631
2,98.1504,99.0474,98.7812,99.0937,98.0956,98.4772,98.7411,98.9059,98.3152,99.3791,99.0591,99.1646,98.7723,98.3718,98.2734,99.0861,98.759,98.7944,98.3513,98.3359,98.5504,99.1314,99.1972,98.6311,98.996,98.992,98.9391,98.6076,98.617,98.617,98.6821,98.996,99.2326,98.0735,98.6637,98.8379,98.1395,99.2043,99.3439,98.1613,98.6821,98.6498,99.2008,98.5648,99.1609,98.996,98.4124,99.3177,98.0568,98.3565,98.4624,99.2775,98.6821,99.063,98.8594,98.8636,98.1395,98.7723,98.6311,98.3769,98.4624,98.3667,98.992,99.1462,98.6913,98.0006,98.4325,98.3359,98.4275,98.2891,99.0474,99.1013,98.6451,98.5165,99.3309,98.8032,98.6358,98.0119,98.6404,99.1499,98.492,98.6311,99.1828,98.9142,98.6217,98.9677,98.4023,98.56,98.7723,98.705,97.8273,98.4275,97.8975,98.4074,99.3078,99.3341,98.6217,98.1883,99.0396,98.4074
3,98.8679,99.1719,99.6205,99.2604,99.47,99.5184,99.3177,99.4845,99.4583,99.5955,99.8253,99.7358,99.0784,99.5591,99.746,99.4758,98.992,99.5321,99.5239,99.3439,99.3696,99.3696,99.6566,99.1828,99.6613,99.2741,99.3947,99.1683,99.1499,99.6448,99.6997,99.3011,99.5156,99.7379,99.3341,99.2944,99.7847,99.2291,99.8384,98.996,99.1536,99.0591,99.4285,99.1499,99.4787,99.7019,99.6255,99.7062,99.1462,99.7275,99.4816,99.291,99.47,99.5211,99.4345,99.3632,99.3632,99.4345,99.8525,98.9142,99.6636,99.2978,98.8336,99.4254,99.2291,99.8046,98.4124,99.5016,99.6909,99.3011,99.7866,99.0,99.6006,99.6975,99.5723,99.7019,99.1202,99.2291,99.6006,99.4345,99.2221,99.4758,99.6953,99.4816,99.7715,99.2673,99.6566,99.9088,99.5239,99.0784,99.3632,99.7847,99.5878,99.3536,98.9267,99.1126,99.3011,99.51,99.3759,99.1864
