rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.9861,99.9787,99.9704,99.8368,99.9841,99.9994,99.9851,99.9995,99.9051,99.9997,99.9704,99.9888,99.9966,99.96,99.9896,99.999,99.9962,99.9988,99.9926,99.96,99.926,99.9896,99.9986,99.9434,99.9395,99.9988,99.9992,99.9014,99.9669,99.9793,99.9954,99.987,99.9929,100.0,99.9769,99.9996,99.9731,99.9856,99.9998,99.9896,100.0,99.9966,99.9966,99.9915,99.9919,99.9923,99.9631,99.9896,99.9994,99.9798,99.9576,100.0,99.9996,99.9951,99.9993,99.9271,99.9999,100.0,99.981,99.9948,99.9912,99.99,99.9926,99.9951,99.9942,99.9584,99.9892,99.9654,99.9888,99.9769,99.9959,99.9977,99.9704,99.9999,99.9971,99.9892,99.9724,99.9875,99.9282,99.9136,99.9982,99.9929,99.9981,99.9775,99.9815,99.9912,99.9888,99.9971,99.9986,99.9984,99.9933,99.9959,99.9896,99.9969,99.9559,99.9986,99.9975,99.9936,99.9959,99.9654
2,99.7233,99.948,99.8448,99.8011,99.926,99.8416,99.9182,99.8718,99.9775,99.8185,99.7212,99.8134,99.754,99.8817,99.9584,99.6472,99.7828,99.9355,99.8011,99.9471,99.9551,99.9136,99.8099,99.8704,99.9385,99.91,99.7191,99.8646,99.851,99.7041,99.8219,99.7358,99.7993,99.869,99.8384,99.9892,99.8352,99.9826,99.9576,99.7579,99.8601,99.7399,99.869,99.8733,99.8817,99.8236,99.9781,99.7957,99.7599,99.9471,99.91,99.7791,99.8116,99.8416,99.8817,99.9314,99.9616,99.9831,99.8525,99.8571,99.9559,99.851,99.9926,99.6081,99.6728,99.7399,99.9076,99.9879,99.8817,99.8134,99.8631,99.9039,99.781,99.9303,99.8858,99.7884,99.9216,99.9076,99.9292,99.9443,99.9414,99.7084,99.8601,99.8718,99.8432,99.756,99.8011,99.8911,99.8416,99.8775,99.9147,99.9414,99.7866,99.8616,99.8844,99.7677,99.8733,99.7399,99.8082,99.9471
3,99.7127,99.5376,99.7734,99.4009,99.7677,99.8046,99.883,99.4345,99.4315,99.6886,99.6495,99.6472,99.7866,99.4873,99.7084,99.64,99.746,99.7379,99.4315,99.2843,99.746,99.5128,99.6842,99.3727,99.7579,99.6909,99.1388,99.744,99.754,99.6424,99.2221,99.8046,99.6864,99.8046,99.6279,99.8416,99.5294,99.8319,99.7599,99.7993,99.7939,99.6975,99.5827,99.8319,99.8185,99.4931,99.6997,99.8202,99.7772,99.4931,99.7379,99.6589,99.4494,99.6705,99.4845,99.5955,99.8236,99.8219,99.7317,99.3664,99.6705,99.8541,99.6728,99.752,99.6975,99.4612,99.5349,99.8046,99.6131,99.3947,99.5349,99.6589,99.6519,99.5457,99.6886,99.5878,99.291,99.7696,99.7975,99.6448,99.8219,99.7715,99.6819,99.5072,99.7062,99.5538,99.6997,99.6997,99.4931,99.6842,99.6589,99.75,99.7638,99.6842,99.8601,99.6705,99.7379,99.4758,99.7337,99.6328
