generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,90.0018,99.8844,99.9981,94.6639,75.4579,98.3152,10.6597,99.9896,83.1736,85.9225,living,random,half,0.1,10,4
1.0,99.6376,4.7814,99.9995,86.5017,88.6835,85.8774,99.8116,96.0637,95.0538,95.6819,living,random,half,0.1,10,4
2.0,99.2466,89.6445,91.1315,98.079,94.0073,83.6946,91.5086,19.5032,87.3549,87.6377,living,random,half,0.1,10,4
3.0,99.6156,92.3271,85.8172,90.6975,99.9951,4.3907,88.6431,93.8397,92.0927,63.7837,living,random,half,0.1,10,4
4.0,97.3431,87.6377,91.4502,99.7657,91.5552,78.6371,94.71,98.8636,98.3769,85.5296,living,random,half,0.1,10,4
5.0,92.6559,95.5479,98.1121,94.402,84.3184,98.6029,63.7837,92.5252,99.2115,77.4755,living,random,half,0.1,10,4
6.0,85.2083,79.4428,96.5106,92.5907,96.9863,95.5479,71.9736,94.2879,78.135,98.7679,living,random,half,0.1,10,4
7.0,96.8883,79.9296,86.3248,97.2444,99.6131,98.2891,97.4528,97.768,98.5456,78.9319,living,random,half,0.1,10,4
8.0,97.0485,99.8046,93.5281,83.1736,99.9661,99.6448,98.9596,94.9014,100.0,81.8865,living,random,half,0.1,10,4
9.0,99.9292,95.4886,97.6284,99.9292,98.4822,77.646,92.7208,99.2361,98.4822,99.6448,living,random,half,0.1,10,4
10.0,99.0,90.0,100.0,100.0,96.0,100.0,100.0,89.0,96.0,97.0,living,random,half,0.1,10,4
