generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,93.8694,99.0,95.5141,99.4132,60.9875,11.5648,98.7456,99.257,96.0875,99.1425,living,best,half,0.1,10,4
1.0,97.7918,93.5484,96.8387,99.6495,98.5311,98.492,99.2396,99.746,98.8806,76.2441,living,best,half,0.1,10,4
2.0,99.3309,97.8684,99.851,95.4886,98.4325,72.8559,99.9039,99.9982,99.7921,99.3309,living,best,half,0.1,10,4
3.0,99.4758,99.9945,95.1951,70.7752,87.973,80.5343,99.9171,99.9136,77.7027,83.7591,living,best,half,0.1,10,4
4.0,74.0715,75.2394,99.9999,99.9945,99.851,99.8963,99.9999,99.9815,52.2243,99.9434,living,best,half,0.1,10,4
5.0,99.0707,98.1066,65.7541,96.4806,99.9757,99.9981,99.9507,99.6279,99.6589,99.598,living,best,half,0.1,10,4
6.0,99.9999,97.6099,98.6775,97.44,97.5036,99.3471,99.9956,97.44,95.9196,94.24,living,best,half,0.1,10,4
7.0,99.9912,99.96,95.531,99.99,99.6376,91.5435,99.7399,99.8525,99.9334,99.5211,living,best,half,0.1,10,4
8.0,98.6217,99.6682,97.8273,99.9915,13.3984,99.5749,98.1721,99.4285,99.9525,99.0435,living,best,half,0.1,10,4
9.0,99.7148,99.99,99.9815,99.99,98.2364,99.6975,97.5036,99.7715,99.7772,99.9936,living,best,half,0.1,10,4
10.0,98.0,98.0,95.0,100.0,90.0,100.0,100.0,99.0,96.0,100.0,living,best,half,0.1,10,4
