rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.987,99.9998,99.8253,99.7753,99.9769,99.9064,99.9314,99.9856,99.869,99.9405,99.982,99.96,99.8884,99.9971,99.9334,99.9147,99.8319,99.9334,99.9507,99.9815,99.9793,99.9314,99.9998,99.9039,99.9669,99.9624,99.926,99.9027,99.9551,99.9001,99.9793,99.9559,99.7828,99.9182,99.8844,99.8675,99.866,99.9942,99.9744,99.982,99.9962,99.9345,99.8963,99.895,99.9365,99.9815,99.9112,99.8924,99.9576,99.8082,99.9533,99.9781,99.9804,99.9718,99.9088,99.9977,99.9892,99.99,99.9998,99.8029,99.8029,99.9027,99.8989,99.981,99.8571,99.9489,99.9969,99.7753,99.9744,99.9896,99.9781,99.9616,99.9616,99.9292,99.9861,99.9883,99.9434,99.9238,99.8884,99.9507,99.9973,99.9576,99.7715,99.9971,99.9856,99.982,99.9966,99.9559,99.9948,99.9945,99.866,99.9375,99.9996,99.8541,99.9324,99.9639,99.9856,99.9997,99.9945,99.8168
2,99.6774,99.6886,99.717,99.5801,99.5016,99.6181,99.6909,99.6613,99.7753,99.7148,99.6997,99.6519,99.7379,99.6303,99.7254,99.8416,99.7696,99.7358,99.7677,99.5904,99.6751,99.5878,99.7041,99.6566,99.6056,99.6886,99.5749,99.6842,99.5955,99.6975,99.756,99.8269,99.6682,99.6613,99.6006,99.8335,99.7212,99.8253,99.6819,99.7041,99.6279,99.3568,99.6659,99.8134,99.7579,99.6106,99.5697,99.7019,99.8269,99.5801,99.8253,99.9014,99.8463,99.8116,99.5904,99.5644,99.748,99.6031,99.7358,99.5878,99.4315,99.4787,99.9001,99.75,99.7296,99.6682,99.4494,99.7772,99.7233,99.7041,99.64,99.47,99.7148,99.7957,99.6975,99.7019,99.7275,99.7638,99.7127,99.6543,99.8448,99.6519,99.6328,99.6953,99.3727,99.7148,99.7715,99.6106,99.7337,99.4163,99.6156,99.4902,99.8168,99.6156,99.781,99.7599,99.6131,99.7993,99.6842,99.5184
3,97.8684,97.8508,97.6222,97.4973,98.0456,97.4783,97.6222,97.2973,97.5664,97.5225,97.395,97.5036,97.8742,97.9494,97.7739,97.7139,96.6438,97.9322,97.7799,97.3756,97.0896,97.8742,97.5789,97.2907,97.1977,98.0956,98.4871,97.395,97.8684,97.6835,97.5789,97.5602,98.0735,97.5602,97.8214,97.6835,96.5775,97.845,97.7799,98.2151,97.4464,97.8391,97.8096,97.756,97.3821,97.653,97.4846,97.7799,97.3235,97.744,97.5539,98.1286,97.5602,97.75,97.0691,98.0456,97.2907,97.4783,97.6713,97.9779,97.5036,97.9379,97.8626,97.8975,97.4015,97.4783,97.3104,97.5476,97.33,97.7199,97.8742,97.4015,97.5351,97.7918,97.3885,97.0964,97.1977,97.7139,97.6468,97.5351,97.0347,97.8567,97.8742,97.0827,97.9206,98.0456,97.1507,97.3626,97.1236,97.738,97.1507,97.0896,97.9494,97.8684,97.5602,97.7918,97.395,98.3462,97.5726,97.6835
