rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.9676,99.8844,99.9892,99.8368,99.8384,99.8924,99.9971,99.9763,99.8556,99.9462,99.8733,99.9592,99.9375,99.9314,99.9929,99.9462,99.982,99.9584,99.8718,99.8761,99.9088,99.9375,99.948,99.9973,99.9919,99.8844,99.9516,99.9616,99.9683,99.8556,99.9171,99.9216,99.8646,99.9962,99.9292,99.9205,99.9942,99.9405,99.982,99.9064,99.9159,99.9775,99.8924,99.8884,99.8924,99.9731,99.9954,99.9375,99.8541,99.9992,99.9533,99.9443,99.9769,99.9697,99.9926,99.9159,99.9731,99.9205,99.9988,99.9533,99.926,99.9738,99.9292,99.948,99.9945,99.8911,99.9793,99.9039,99.9559,99.9576,99.9639,99.91,99.9919,99.9991,99.9969,99.9039,99.9919,99.9962,99.9757,99.9962,99.9936,99.9962,99.9136,99.9979,99.9731,99.9631,99.9775,99.8586,99.9948,99.9861,99.9676,99.9769,99.9846,99.9171,99.9592,99.9904,99.9452,99.8937,99.9948,99.96
2,99.7579,99.6997,99.64,99.5128,99.51,99.8185,99.7358,99.6953,99.7975,99.6728,99.7579,99.3853,99.6931,99.6659,99.7772,99.5016,99.5878,99.4132,99.3504,99.6376,99.5484,99.5775,99.7019,99.781,99.3536,99.754,99.6352,99.598,99.752,99.6543,99.4254,99.6842,99.6031,99.4405,99.4612,99.5878,99.6819,99.7715,99.6495,99.754,99.6682,99.6774,99.4524,99.6728,99.4959,99.5801,99.6205,99.6864,99.5349,99.7317,99.5775,99.7677,99.6031,99.7715,99.8335,99.6519,99.7041,99.4642,99.6953,99.7677,99.746,99.748,99.5267,99.7254,99.6819,99.4285,99.6864,99.4758,99.5955,99.5801,99.7828,99.3727,99.5853,99.4554,99.6728,99.9654,99.5591,99.7657,99.4612,99.8286,99.623,99.598,99.5457,99.6566,99.5349,99.8937,99.4224,99.5644,99.7296,99.3407,99.5239,99.6006,99.4405,99.8202,99.781,99.321,99.7127,99.5239,99.5484,99.5484
3,99.0199,99.3177,99.3111,99.2707,99.1314,99.215,99.3791,99.2775,99.25,99.4224,98.7856,99.3978,99.1683,99.1683,99.012,99.3759,98.9596,99.1573,99.3144,99.3822,99.1314,99.1936,98.6404,99.25,98.988,98.935,99.1239,99.3309,99.1051,99.3011,99.1646,99.0,99.2707,98.9473,99.0822,98.7456,99.3144,99.1051,99.3044,98.9759,98.9267,98.8508,99.1276,99.257,98.8508,99.0317,99.4612,99.2843,98.9637,99.4071,98.6637,99.2079,99.3853,98.6029,99.3536,98.7004,99.2535,98.8764,99.215,98.7988,99.3536,99.1936,99.1351,99.2079,98.9799,99.3568,98.9226,99.215,98.992,99.0861,99.4009,99.2221,99.2079,99.2115,99.1351,99.3309,98.7411,99.2843,98.8636,99.4554,98.9308,99.3664,99.0474,99.0396,99.4071,98.7988,98.9799,98.8508,99.1792,99.4671,98.9267,98.8722,98.9267,99.321,99.0199,99.3885,99.0975,99.3822,99.0,99.1013
