generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,0.0,77.8159,97.8155,97.014,84.8679,84.6806,88.1664,97.4336,35.1009,13.2867,living,best,half,0.01,10,4
1.0,95.0182,97.7859,91.0,99.1314,1.0373,90.5751,99.1239,99.1239,90.5751,97.9494,living,best,half,0.01,10,4
2.0,1.0373,95.446,95.0182,1.0373,99.1239,1.0373,95.0182,99.9981,97.9494,1.0373,living,best,half,0.01,10,4
3.0,98.9308,89.6702,99.1314,94.6547,99.1314,95.446,99.9471,95.0182,97.9494,99.1202,living,best,half,0.01,10,4
4.0,99.1202,99.9981,99.1314,99.9981,99.9981,95.446,97.9494,99.9969,99.9981,99.3632,living,best,half,0.01,10,4
5.0,99.9981,99.9981,99.9227,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,living,best,half,0.01,10,4
6.0,99.9981,99.9981,99.9981,99.5184,99.9981,99.9981,99.9981,99.9981,96.9445,99.9981,living,best,half,0.01,10,4
7.0,99.9981,99.9981,99.9981,99.9981,99.9981,99.5184,98.7004,99.8989,99.9981,99.9981,living,best,half,0.01,10,4
8.0,99.9981,99.1202,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,living,best,half,0.01,10,4
9.0,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,99.9981,living,best,half,0.01,10,4
10.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,living,best,half,0.01,10,4
