rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.9936,99.851,99.9923,99.9996,99.9993,99.9334,99.9731,99.781,99.9542,99.8463,99.9904,99.9051,99.8817,99.9489,99.8844,99.6886,99.9999,99.999,99.8911,99.9846,99.9919,99.8924,99.7399,99.9959,99.9956,99.8116,99.9971,99.987,99.9865,99.9576,99.9993,99.8253,99.9966,99.8556,99.9227,99.9355,99.8416,99.8495,99.9631,99.8924,99.9775,99.9282,99.9798,99.9948,99.9775,99.9718,99.9365,99.8525,99.9434,99.9999,99.9836,99.9977,99.895,99.9979,99.982,99.8168,99.96,99.8525,99.9489,99.9669,99.9875,99.9919,99.9443,99.91,99.9962,99.9171,99.9896,99.9831,99.9249,99.9249,99.9781,99.9908,99.8733,99.9787,99.9661,99.9987,99.883,99.9939,99.9912,99.9631,99.9076,99.7212,99.9559,99.9249,99.9088,99.9608,99.9669,99.9001,99.9724,99.9014,99.9942,99.9147,99.9875,99.9763,99.9912,99.9683,99.9616,99.9798,99.8099,99.9489
2,99.9826,99.9471,99.9136,99.9683,99.9769,99.8989,99.84,99.9227,99.9846,99.9405,99.9999,99.9775,99.9896,99.9697,99.9933,99.96,99.9945,99.91,99.9292,99.9249,99.9498,99.9999,99.9744,99.9654,99.9781,99.84,99.9136,99.8616,99.96,99.8704,99.9639,99.982,99.8704,99.926,99.9815,99.9136,99.9303,99.8976,99.9576,99.9979,99.9846,99.91,99.969,99.8911,99.9669,99.9875,99.9182,99.9865,99.7866,99.9193,99.9498,99.9775,99.982,99.9883,99.9533,99.9926,99.9988,99.851,99.9929,99.9334,99.975,99.9249,99.8631,99.8789,99.9991,99.9227,99.9314,99.9205,99.9639,99.8803,99.9405,99.9975,99.9452,99.9238,99.9533,99.8586,99.9647,99.9731,99.975,99.96,99.9787,99.9964,99.9926,99.9584,99.926,99.9826,99.9683,99.9238,99.9303,99.9525,99.8432,99.8541,99.9039,99.987,99.9136,99.9498,99.9443,99.9865,99.9193,99.8675
3,99.9744,99.895,99.8046,99.982,99.8463,99.9639,99.8963,99.866,99.9159,99.9227,99.9781,99.8646,99.7579,99.8202,99.8718,99.8495,99.7847,99.8269,99.8099,99.9525,99.9434,99.8448,99.9804,99.9507,99.9851,99.9883,99.9365,99.975,99.9159,99.9533,99.9923,99.96,99.9851,99.8911,99.9997,99.895,99.9027,99.9576,99.99,99.8541,99.9915,99.8495,99.9781,99.9542,99.8789,99.9865,99.9793,99.8448,99.9462,99.9647,99.9471,99.9039,99.9744,99.8571,99.8335,99.8817,99.8704,99.9551,99.9355,99.8168,99.9507,99.9385,99.8303,99.9405,99.9303,99.8963,99.8747,99.7753,99.9424,99.9124,99.8817,99.987,99.8448,99.9249,99.9576,99.8011,99.8586,99.9999,99.8432,99.9744,99.8937,99.9355,99.9757,99.8989,99.8601,99.9769,99.9551,99.9064,99.7957,99.8989,99.9608,99.8803,99.9711,99.8646,99.9697,99.975,99.9647,99.9271,99.9576,99.9405
