rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.7638,99.8046,99.9324,99.9271,99.9443,99.6376,99.9999,99.9567,99.6081,99.8911,99.8099,99.6997,99.8646,99.7657,99.7753,99.7275,99.9987,99.9757,99.8976,99.9979,99.91,99.8675,99.91,99.9051,99.6886,99.7275,99.9923,99.9986,99.9929,99.6106,99.9966,99.8384,99.9711,99.9592,99.9282,99.8675,99.4435,99.9452,99.8803,99.8134,99.9804,99.9981,99.9375,99.9851,99.948,99.9826,99.9865,99.9193,99.8803,99.8976,99.9731,99.9939,99.9001,99.9915,99.9984,99.9669,99.8099,99.6864,99.8463,99.9136,99.6448,99.9731,99.8884,99.9227,99.9608,99.75,99.8099,99.9999,99.8202,99.8571,99.8586,99.8463,99.9647,99.8134,99.9567,99.9193,99.9757,99.9525,99.754,99.744,99.9525,99.9697,99.8448,99.9533,99.9533,99.9951,99.9936,99.869,99.8675,99.7734,99.5457,99.8963,99.6424,99.9697,99.9039,99.9851,99.7677,99.9027,99.9631,99.9979
2,97.1574,96.4956,96.1348,96.8812,97.251,97.395,98.0456,96.1112,97.1236,97.3561,95.6235,97.1032,97.2378,97.5351,96.9515,97.2244,96.7456,96.8031,96.8173,98.0735,96.2751,95.9115,97.1304,96.1348,96.4052,97.3104,97.5288,96.4881,97.8273,96.8529,96.9794,97.6222,97.4783,96.1112,95.6819,97.1709,97.8626,97.5476,96.4279,96.8458,96.6876,98.3769,97.3104,97.2044,97.5476,97.0071,97.3626,96.0479,96.9724,96.7959,96.127,97.5726,96.8387,97.4272,96.7528,96.6438,97.0347,97.2577,98.1829,97.2311,96.7456,97.3104,97.8917,97.317,96.9094,96.8102,97.5602,97.1371,97.0416,96.8245,97.11,96.6876,96.0637,96.9375,97.4336,98.0623,96.7816,96.6144,97.7739,96.6144,96.9024,96.3059,97.1641,97.653,97.4909,97.0691,96.5849,98.0175,96.8529,97.3431,97.6652,97.0209,97.3038,96.5106,96.3672,96.518,97.1032,97.738,96.607,97.2111
3,94.8471,95.9034,95.1951,95.6319,94.6731,95.6403,95.8057,95.4631,96.008,93.9582,94.9645,95.5225,95.0982,95.0805,96.2053,94.7284,96.2442,95.6068,95.1776,95.3344,96.0875,95.6569,95.5056,94.6547,95.3603,95.2039,94.7833,95.7893,94.8471,94.9195,94.599,95.0271,95.3344,95.3344,94.599,94.7192,95.4033,95.3084,95.0538,95.4631,95.343,95.4971,95.4971,94.9555,95.0003,95.7399,96.0,95.9357,95.8791,94.8743,95.6736,95.59,95.7975,95.5056,95.2127,95.6819,95.2563,95.3171,95.7068,95.4375,94.9734,95.7234,94.9465,95.7975,95.531,97.1977,95.7975,95.3344,96.0954,94.9285,95.2301,95.1864,95.9034,95.3603,95.3084,96.2905,96.2364,95.59,96.1741,95.2998,95.265,95.5732,95.0893,95.6152,95.984,95.0538,95.6569,95.9196,95.0003,95.0805,95.2389,94.838,95.984,94.8471,94.7008,95.3775,95.9679,94.6731,95.8221,95.2737
