generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,98.3972,90.178,99.7884,12.1656,72.2692,99.0317,96.9515,78.9319,99.3885,81.2684,living,best,half,0.5,10,4
1.0,99.9616,87.8896,95.5648,83.968,99.0668,27.1708,99.9964,97.9033,80.7981,80.64,living,best,half,0.5,10,4
2.0,84.9921,99.4987,85.6511,99.1792,99.215,90.1027,91.0599,91.2739,86.1169,99.6472,living,best,half,0.5,10,4
3.0,97.6774,18.8559,97.9322,98.7456,99.9414,98.9473,99.3885,96.9375,99.0278,91.6479,living,best,half,0.5,10,4
4.0,99.1314,95.7646,99.3504,99.975,96.86,99.781,99.6303,99.8525,99.9992,99.9704,living,best,half,0.5,10,4
5.0,99.9498,81.2338,89.1759,99.8884,99.9954,78.1911,97.3561,98.759,94.1823,96.3289,living,best,half,0.5,10,4
6.0,98.3871,99.6352,97.8391,86.5604,99.9977,99.969,99.8911,99.9112,95.1951,41.079,living,best,half,0.5,10,4
7.0,83.3862,81.147,99.8884,2.1088,50.5228,97.75,98.1395,95.7482,95.6902,97.1843,living,best,half,0.5,10,4
8.0,99.5644,99.0552,94.0659,77.1133,92.6884,92.9775,98.8636,99.969,85.7116,99.6566,living,best,half,0.5,10,4
9.0,3.4104,98.988,98.8249,93.8991,93.6496,99.1936,97.2907,98.247,99.7657,76.3998,living,best,half,0.5,10,4
10.0,97.0,90.0,99.0,100.0,87.0,92.0,49.0,95.0,99.0,100.0,living,best,half,0.5,10,4
