rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.982,99.9559,99.9956,99.9991,99.9979,99.9912,99.9998,100.0,99.9991,99.9793,99.9964,99.9996,99.9996,99.9227,99.9908,99.9933,99.9775,99.999,99.9993,99.9704,99.9923,99.9856,99.9836,99.9896,99.9954,99.9977,99.9959,99.9892,99.9434,99.9981,99.9711,99.9998,99.9908,99.9956,99.9945,99.9969,99.9926,99.9912,99.987,99.9292,99.9999,99.9676,99.9964,99.9999,99.9936,99.9904,99.9992,99.9992,99.9775,99.9991,99.9879,99.9962,99.9559,99.9826,99.9994,99.9971,99.9975,99.9977,99.9654,99.9964,99.9883,99.9088,99.9979,99.9769,99.9954,99.9969,99.981,99.9345,99.9926,99.9936,99.999,99.9567,99.987,99.9994,99.9998,99.9948,100.0,99.9966,99.9951,99.9711,99.99,99.9908,99.9923,100.0,99.9987,99.9984,99.9979,99.9908,99.9815,99.9996,99.9793,99.9999,99.9987,99.9979,99.9993,99.9999,99.9971,99.9998,99.9997,99.9977
2,99.9971,99.9948,99.9948,99.99,99.9787,99.9731,99.975,99.9912,99.9908,99.9981,99.9724,99.96,99.9826,99.9861,99.9804,99.9452,99.9781,99.9926,99.9769,99.9851,99.982,99.9948,99.9856,99.9908,99.9831,99.9861,99.9879,99.9879,99.975,99.9826,99.9815,99.987,99.9757,99.9856,99.9865,99.987,99.9836,99.9775,99.9793,99.9787,99.9948,99.9865,99.9775,99.9904,99.9929,99.9936,99.9919,99.9892,99.9724,99.9912,99.9841,99.9896,99.99,99.9831,99.9971,99.9616,99.9861,99.969,99.9912,99.9896,99.9904,99.9815,99.9861,99.9933,99.9883,99.9987,99.9654,99.9908,99.987,99.9763,99.9956,99.9704,99.9929,99.9815,99.9856,99.9841,99.9781,99.99,99.981,99.9979,99.9836,99.9804,99.9879,99.9999,99.99,99.9945,99.987,99.9865,99.9861,99.9999,99.9826,99.9584,99.9498,99.9831,99.9896,99.9836,99.9738,99.9639,99.9888,99.9929
3,99.9942,99.9892,99.9542,99.9997,99.9039,99.9973,99.9639,99.9977,99.9879,99.9434,99.9951,99.7062,99.9959,99.9815,99.9775,99.8963,99.9861,99.9775,99.9942,99.9993,99.9996,99.948,99.9892,99.9915,100.0,99.9999,99.9962,99.9999,99.9959,99.9624,99.9826,99.9856,99.9769,99.8924,99.9249,99.9929,99.9892,99.9836,99.9355,99.9112,99.9631,99.9998,99.9769,99.9879,99.9697,99.9395,99.9631,99.9757,99.9624,99.9836,99.9988,99.9697,99.9999,99.9738,99.8479,99.982,99.9654,99.9986,99.9998,99.9462,99.9892,99.9584,99.9711,99.9995,99.9159,99.9956,99.9995,99.9567,99.9994,99.9781,99.9977,99.9076,99.9939,99.9956,99.9984,99.9533,99.9592,99.9977,99.9731,99.9942,99.9576,99.9559,99.9987,99.9654,99.9798,99.9999,99.9997,99.9704,99.9584,99.9731,99.9984,99.9919,100.0,99.9654,99.9936,99.9975,99.9948,100.0,99.9971,99.883
