generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,90.1153,90.9399,10.0537,89.8876,99.5827,65.355,99.9942,49.3056,97.9322,26.4865,living,best,half,0.01,10,4
1.0,98.3256,93.0831,99.6352,92.0927,97.1371,99.8601,96.5701,96.5701,99.8601,99.8733,living,best,half,0.01,10,4
2.0,91.024,99.4224,99.6352,91.024,99.8601,91.024,99.6352,82.5109,99.6352,91.024,living,best,half,0.01,10,4
3.0,99.6352,98.617,99.6352,99.9977,99.6352,99.6352,99.8601,99.6352,99.6352,99.8601,living,best,half,0.01,10,4
4.0,99.9977,99.9977,99.8601,99.9977,99.6352,99.8601,99.8601,99.9951,99.6352,99.9851,living,best,half,0.01,10,4
5.0,99.9951,99.9977,98.7944,99.9977,99.9977,99.9977,99.9951,99.9977,99.9977,99.9977,living,best,half,0.01,10,4
6.0,99.9977,99.9977,99.9977,97.9551,99.9977,99.9977,99.9977,99.9977,99.6448,99.9977,living,best,half,0.01,10,4
7.0,99.9977,99.9977,99.9977,99.9977,99.9977,97.9551,99.5827,99.9975,99.9977,99.9977,living,best,half,0.01,10,4
8.0,99.9977,99.9676,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,living,best,half,0.01,10,4
9.0,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,99.9977,living,best,half,0.01,10,4
10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,living,best,half,0.01,10,4
