generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.99,99.5072,99.5775,73.8879,86.5898,13.6587,79.6779,76.6131,98.1286,97.1371,living,best,half,0.1,10,4
1.0,99.8844,99.8495,99.8789,24.31,99.1351,99.9831,99.6705,99.8747,94.7192,28.0557,living,best,half,0.1,10,4
2.0,99.9584,99.866,99.8747,99.47,99.9999,99.47,99.4102,100.0,91.6479,99.9584,living,best,half,0.1,10,4
3.0,99.9999,99.9205,99.7254,97.1776,99.9923,99.9405,99.25,99.2361,99.9962,99.9249,living,best,half,0.1,10,4
4.0,99.9793,97.6346,99.9584,100.0,99.7337,99.7638,99.9999,99.6659,99.8631,99.84,living,best,half,0.1,10,4
5.0,90.0018,99.9793,100.0,95.976,99.9405,99.567,99.1462,99.5294,99.8168,97.3038,living,best,half,0.1,10,4
6.0,99.6031,92.6992,99.9027,77.8347,99.9334,96.1506,99.9912,99.8219,96.1191,94.838,living,best,half,0.1,10,4
7.0,99.9744,98.9059,95.8791,98.3462,99.9533,33.2511,96.9024,99.9334,99.9933,0.0,living,best,half,0.1,10,4
8.0,97.9149,99.869,99.975,95.1424,98.6358,99.9926,97.3235,98.8075,99.7148,99.7191,living,best,half,0.1,10,4
9.0,98.7095,99.3759,52.858,99.3759,99.6255,99.5484,99.5955,98.5018,94.9824,99.748,living,best,half,0.1,10,4
10.0,100.0,98.0,100.0,100.0,99.0,97.0,100.0,98.0,2.0,100.0,living,best,half,0.1,10,4
