generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,87.3406,80.6224,98.7944,9.4077,98.4225,74.0919,97.9551,98.1937,92.2938,90.964,living,best,half,0.05,10,4
1.0,97.4846,99.8571,99.9516,93.1461,97.2244,91.6016,98.31,98.31,91.6016,99.9608,living,best,half,0.05,10,4
2.0,99.7019,84.9766,98.4225,97.4846,98.9555,98.5552,98.4225,99.6589,99.4671,99.7019,living,best,half,0.05,10,4
3.0,99.7337,99.9804,84.899,99.5511,99.9443,99.9992,99.7019,99.6589,99.2431,99.75,living,best,half,0.05,10,4
4.0,98.0956,98.31,99.9804,99.6589,99.623,99.9471,99.754,99.4405,91.9684,99.9292,living,best,half,0.05,10,4
5.0,99.9804,99.9804,99.9997,99.9969,99.5184,99.8335,99.9804,96.2519,93.8991,23.9616,living,best,half,0.05,10,4
6.0,99.9471,99.7254,99.9804,94.4869,98.8293,98.8975,98.7545,99.9542,89.11,99.754,living,best,half,0.05,10,4
7.0,99.9631,99.9542,99.9851,99.75,99.9804,93.8991,99.9462,99.9951,99.1792,99.8011,living,best,half,0.05,10,4
8.0,99.9987,99.754,99.9851,48.2176,99.7275,99.9948,99.7619,99.0278,99.7041,99.8704,living,best,half,0.05,10,4
9.0,98.935,99.754,99.754,99.754,99.754,99.7084,99.9471,99.754,99.1828,99.4163,living,best,half,0.05,10,4
10.0,99.0,100.0,94.0,100.0,94.0,93.0,97.0,100.0,94.0,100.0,living,best,half,0.05,10,4
