generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.9744,98.0456,99.9424,67.0294,68.4156,6.9933,91.8547,92.6667,1.5539,9.1791,living,best,half,0.5,10,4
1.0,2.3065,87.3549,99.0591,82.7775,99.3439,94.3546,99.9282,97.8975,99.3568,99.9993,living,best,half,0.5,10,4
2.0,93.8099,99.1051,99.9969,87.3264,98.9267,97.4909,96.518,94.9645,90.5013,87.6237,living,best,half,0.5,10,4
3.0,76.6711,99.2326,99.2291,99.0278,99.1126,99.6774,95.4118,99.8463,94.2879,94.4869,living,best,half,0.5,10,4
4.0,97.3038,87.2265,75.5964,82.2759,99.9182,92.9138,79.2246,11.8655,97.8626,98.4174,living,best,half,0.5,10,4
5.0,99.4009,95.0716,98.199,97.0553,70.7319,79.3339,5.9876,89.9003,41.4469,99.1828,living,best,half,0.5,10,4
6.0,78.4333,93.0831,98.9759,99.7275,96.7528,99.9424,89.7728,81.0078,96.3289,92.8069,living,best,half,0.5,10,4
7.0,76.1856,93.4362,94.4493,99.9977,99.9948,95.343,95.0449,87.0256,83.6946,87.2551,living,best,half,0.5,10,4
8.0,97.7739,98.6358,14.4745,91.5784,98.2417,86.3987,5.4827,91.2028,85.3923,35.0042,living,best,half,0.5,10,4
9.0,99.9216,99.3916,80.3928,96.6364,92.4265,59.8298,91.7516,96.39,96.6218,99.6352,living,best,half,0.5,10,4
10.0,98.0,3.0,87.0,99.0,6.0,95.0,95.0,95.0,3.0,99.0,living,best,half,0.5,10,4
