generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,89.9511,97.9436,8.5682,6.9933,95.0449,88.4672,72.6052,99.9975,85.0695,93.5586,living,best,half,0.01,10,4
1.0,96.2828,97.9091,94.4304,99.781,99.7791,96.8387,99.999,99.999,96.8387,92.71,living,best,half,0.01,10,4
2.0,99.999,99.25,99.999,99.999,96.2828,96.2828,99.999,99.5349,99.7791,99.999,living,best,half,0.01,10,4
3.0,99.999,97.1843,99.999,97.1843,99.999,99.999,99.999,99.999,99.999,99.999,living,best,half,0.01,10,4
4.0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.9744,99.999,99.7734,living,best,half,0.01,10,4
5.0,99.999,99.999,97.4655,99.999,99.999,99.999,99.999,99.999,99.999,99.999,living,best,half,0.01,10,4
6.0,99.999,99.999,99.999,88.0146,99.999,99.999,99.999,99.999,94.8016,99.999,living,best,half,0.01,10,4
7.0,99.999,99.999,99.999,99.999,99.999,88.0146,98.9839,99.9334,99.999,99.999,living,best,half,0.01,10,4
8.0,99.999,99.25,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,living,best,half,0.01,10,4
9.0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,living,best,half,0.01,10,4
10.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,living,best,half,0.01,10,4
