generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,88.2351,98.714,91.3682,6.0264,95.5984,81.8524,99.8525,90.7706,99.7317,86.3544,living,best,half,0.1,10,4
1.0,98.3411,98.8806,90.8312,98.8075,96.4581,95.1512,97.5851,97.4783,75.8133,99.8789,living,best,half,0.1,10,4
2.0,99.7696,87.6659,99.9027,98.1558,94.0756,97.9379,99.8871,99.7062,99.1388,99.7696,living,best,half,0.1,10,4
3.0,99.9697,91.671,92.3382,99.948,99.9424,99.7939,99.9979,98.7988,99.8571,99.9001,living,best,half,0.1,10,4
4.0,94.6824,98.5018,99.7062,99.9979,99.9981,99.9027,99.7062,99.8924,99.9998,99.9987,living,best,half,0.1,10,4
5.0,93.4156,93.8991,99.9919,97.4079,99.9998,87.2122,99.9147,99.8803,99.754,99.3374,living,best,half,0.1,10,4
6.0,99.0591,98.3718,79.2429,96.5106,56.7562,99.0937,99.9375,98.5839,84.7119,99.6997,living,best,half,0.1,10,4
7.0,98.4969,99.6131,99.2535,97.3691,99.8253,95.6736,98.3256,99.2256,33.838,97.9949,living,best,half,0.1,10,4
8.0,44.1991,99.2361,99.4758,99.1609,99.8253,99.3144,62.4721,98.759,99.9793,99.2431,living,best,half,0.1,10,4
9.0,91.2028,99.3885,99.9718,99.3885,98.992,97.0553,99.3111,96.5775,99.9112,97.9722,living,best,half,0.1,10,4
10.0,100.0,92.0,12.0,100.0,100.0,92.0,99.0,100.0,31.0,100.0,living,best,half,0.1,10,4
