rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,98.9059,98.5116,98.8975,98.3871,98.6404,98.9308,98.4174,98.6029,98.5887,98.4074,98.5552,98.4375,98.8249,98.6264,98.8119,99.1646,98.1829,98.4074,98.6451,98.7501,98.3769,98.6451,98.988,98.3769,99.0707,98.4822,98.759,98.6029,98.8849,98.6544,98.3718,98.3359,98.6683,98.79,98.8636,98.4225,98.4574,98.1829,98.8722,98.0119,98.659,98.6498,99.063,98.0568,98.7411,98.6076,98.7723,98.7366,98.5504,98.5407,98.6264,98.6311,98.6029,98.6264,98.9839,98.9226,98.1829,98.8636,98.6076,98.0735,98.6544,97.8332,98.6729,98.7988,98.759,98.6311,98.0232,99.0317,98.8075,98.3667,98.2151,98.3048,98.492,98.8933,98.5744,98.8119,98.9677,97.7139,98.8465,99.0,98.6867,98.5791,98.8806,98.8636,98.2944,97.9608,98.4822,98.4525,97.7199,98.0344,98.4375,98.9017,98.2151,98.5839,98.5839,98.5696,98.7276,98.5311,98.5648,98.4275
2,96.9165,96.6949,96.4806,97.0964,96.6584,96.3443,96.8031,96.1191,96.1112,96.4052,96.7744,96.7528,96.6949,96.1348,96.9305,97.0691,96.2442,96.39,96.4956,96.5627,97.3104,96.6657,96.9235,96.4656,97.0827,96.7167,96.673,96.1506,95.8628,95.8384,96.3824,97.1776,96.2596,96.2442,96.6218,96.8883,96.3824,96.4581,96.2364,96.2053,96.5553,96.2982,96.8954,96.6364,96.6657,95.9277,96.4731,96.7094,96.3672,96.7887,96.607,96.7744,95.6985,96.1819,96.7528,96.3824,96.5849,96.1741,96.86,96.5031,97.1168,96.6511,96.6584,96.7528,97.251,96.9165,96.9654,96.3519,96.518,96.7167,96.5923,96.3519,97.1371,96.6876,96.3976,96.2364,96.9515,96.8812,96.7744,96.6364,96.0558,96.6364,96.4731,96.2982,95.6902,96.3824,96.4881,96.5997,97.1709,96.6511,96.5255,96.6218,97.1032,96.1348,96.6364,96.4052,96.4581,96.3289,96.86,96.2674
3,94.0659,94.1339,94.5244,94.3546,93.8793,94.3831,94.2592,94.3356,94.3736,94.1919,94.599,94.307,94.2688,94.1048,93.4771,92.6992,93.6395,93.4362,93.3745,94.0464,93.6395,93.8595,92.7639,95.16,94.8107,94.6361,94.0171,93.589,94.838,94.7376,93.6899,93.8793,94.9555,95.0538,94.2112,93.4464,93.5077,94.0073,93.4464,93.8892,93.77,94.9014,94.4304,93.8892,93.6193,94.0659,94.4963,94.7925,94.6269,93.6999,93.24,93.909,94.1436,93.6899,93.8496,93.3642,94.307,93.8991,94.1533,94.2496,94.3451,93.8496,94.0464,93.74,94.3736,93.6697,94.6916,94.0366,93.5991,94.1436,94.9375,94.5897,93.72,94.3356,93.77,93.9582,93.5687,93.6395,94.307,93.8198,94.4775,93.4975,93.73,94.1823,94.1823,93.9779,94.0464,94.7192,93.9287,94.4115,94.6269,93.7099,93.8595,93.8397,93.9681,93.1041,94.71,93.74,94.2688,94.3736
