generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,22.5952,99.6909,99.9434,97.5099,96.9235,94.1339,89.7728,82.0394,85.0695,82.3432,living,best,half,0.01,10,4
1.0,27.4096,92.4705,95.6653,99.7921,95.7068,98.5887,10.6597,10.6597,98.5887,32.2012,living,best,half,0.01,10,4
2.0,99.9434,92.1039,99.6909,99.9434,98.5887,99.9434,99.6909,98.4023,99.7921,99.9434,living,best,half,0.01,10,4
3.0,99.9434,93.77,99.9434,93.77,99.9434,99.9434,99.9434,99.9434,99.9434,99.9434,living,best,half,0.01,10,4
4.0,99.9434,99.9434,99.9434,99.9434,99.9434,99.9434,99.9434,99.5184,99.9434,99.8871,living,best,half,0.01,10,4
5.0,99.9434,99.9434,99.0357,99.9434,99.9434,99.9434,99.9434,99.9434,99.9434,99.9434,living,best,half,0.01,10,4
6.0,99.9434,99.9434,99.9434,99.8911,99.9434,99.9434,99.9434,99.9434,95.2476,99.9434,living,best,half,0.01,10,4
7.0,99.9434,99.9434,99.9434,99.9434,99.9434,99.8911,98.5981,99.9763,99.9434,99.9434,living,best,half,0.01,10,4
8.0,99.9434,98.31,99.9434,99.9763,99.9763,99.9434,99.9763,99.9763,99.9434,99.9434,living,best,half,0.01,10,4
9.0,99.9763,99.9763,99.9763,99.9763,99.9763,99.9763,99.9763,99.9763,99.9763,99.9763,living,best,half,0.01,10,4
10.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,living,best,half,0.01,10,4
