generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.7772,0.0,99.47,93.3642,98.4275,96.2131,0.0,94.0464,90.2031,56.9402,living,best,half,0.05,10,4
1.0,75.1199,69.8379,83.4676,62.374,97.5913,97.1371,85.8624,85.8624,97.1371,89.0836,living,best,half,0.05,10,4
2.0,99.6864,100.0,82.1916,99.6997,94.4398,99.6864,82.1916,99.1276,82.5777,99.6864,living,best,half,0.05,10,4
3.0,99.9533,98.714,94.7284,98.7095,99.9997,99.9744,81.147,98.8933,99.9738,99.8556,living,best,half,0.05,10,4
4.0,95.8953,97.317,99.9738,99.4102,99.8219,99.6424,99.9836,99.4729,99.8319,99.6081,living,best,half,0.05,10,4
5.0,97.2044,99.9836,9.0266,99.895,98.6775,99.9984,99.8319,99.9979,99.7847,98.6404,living,best,half,0.05,10,4
6.0,99.5749,98.3922,99.9738,99.9962,99.9744,99.6205,99.9193,99.9987,99.9669,99.7317,living,best,half,0.05,10,4
7.0,99.9533,99.5878,98.1775,94.6269,99.9979,99.9836,86.5898,98.7456,99.4583,99.5072,living,best,half,0.05,10,4
8.0,99.6819,99.9744,97.2044,93.8793,99.9744,99.9744,98.8594,88.67,99.2431,97.2044,living,best,half,0.05,10,4
9.0,99.6705,99.9744,99.3341,99.9744,99.9744,99.9171,98.714,99.9744,99.7847,99.9744,living,best,half,0.05,10,4
10.0,100.0,100.0,100.0,100.0,99.0,98.0,98.0,100.0,99.0,99.0,living,best,half,0.05,10,4
