rule,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep20,rep21,rep22,rep23,rep24,rep25,rep26,rep27,rep28,rep29,rep30,rep31,rep32,rep33,rep34,rep35,rep36,rep37,rep38,rep39,rep40,rep41,rep42,rep43,rep44,rep45,rep46,rep47,rep48,rep49,rep50,rep51,rep52,rep53,rep54,rep55,rep56,rep57,rep58,rep59,rep60,rep61,rep62,rep63,rep64,rep65,rep66,rep67,rep68,rep69,rep70,rep71,rep72,rep73,rep74,rep75,rep76,rep77,rep78,rep79,rep80,rep81,rep82,rep83,rep84,rep85,rep86,rep87,rep88,rep89,rep90,rep91,rep92,rep93,rep94,rep95,rep96,rep97,rep98,rep99,rep100
1,99.8432,99.6566,99.5538,99.8733,99.3044,99.5904,99.8448,99.8817,99.9915,99.7296,99.7715,99.8911,99.47,99.8303,99.9216,99.99,99.8029,99.948,99.8384,99.6589,99.7715,99.717,99.8219,99.9798,99.9964,99.9443,99.3822,99.9775,99.8202,99.8963,99.5044,99.9014,99.8269,99.7884,99.4524,99.7062,99.1351,99.5072,99.9616,99.7062,99.7317,99.9462,99.866,99.6519,99.756,99.3144,99.4254,99.8151,99.8704,99.3916,99.8319,99.9744,99.6255,99.5564,99.9271,99.96,99.6751,99.752,99.2741,99.9542,99.6131,99.7337,99.744,99.6931,99.8029,99.4132,99.3759,99.7084,99.4071,99.9001,99.1126,99.5156,99.8858,99.5775,99.9443,99.6931,99.9395,99.9271,99.6255,99.7041,99.7884,99.8761,99.2843,99.4224,99.6705,99.6205,99.7379,99.9395,99.8185,99.9826,99.8082,99.9888,99.3144,99.7791,99.6728,99.6031,99.7212,99.6495,99.9395,99.7296
2,99.9551,99.9227,99.8541,99.975,99.593,99.7599,99.7677,99.8747,99.9355,99.9769,99.9962,99.9227,99.9984,99.9923,99.9669,99.9945,99.8479,99.9516,99.9584,99.7399,99.7696,99.7148,99.9915,99.9507,99.9271,99.9994,99.8733,99.9738,99.9826,99.9966,99.1828,99.9981,99.2008,99.8601,99.9516,99.9936,99.9999,99.9334,99.6106,99.9992,99.8384,99.9738,99.866,99.9948,99.9915,99.8556,99.8064,99.6751,99.9988,99.6659,99.8236,99.9516,99.9888,99.8525,99.9405,99.9856,99.9718,99.8463,99.8733,99.9324,99.9136,99.9962,99.4554,99.9959,99.9769,99.1609,99.99,99.9027,99.5128,99.975,99.2978,99.9314,99.9631,99.9879,99.9718,99.4845,99.6424,99.9923,99.8733,99.9861,99.593,99.9787,99.9639,99.9683,99.9697,99.8844,99.84,99.9631,99.8817,99.9915,99.9738,99.5044,99.9973,99.5321,99.9841,99.9908,99.9076,99.9942,99.9936,99.3177
3,99.1314,98.992,99.5749,99.6997,99.2877,99.5955,99.4931,99.6006,99.4435,99.1864,99.2877,99.6181,99.1792,99.3791,99.6031,99.8099,99.567,99.4987,99.4285,99.5564,99.7579,99.623,99.2843,99.3536,99.8718,99.5749,99.5044,99.6156,99.7254,99.4959,99.2775,99.2843,99.6997,99.781,99.3536,99.6819,99.1276,99.6181,99.2604,99.3791,99.19,99.6352,99.4315,99.3341,99.2535,99.6424,99.6328,99.7296,99.4787,99.7041,99.5644,98.9514,99.3727,99.6031,99.4583,99.4671,98.9391,99.1202,99.1792,99.3407,99.3078,99.4729,99.6636,99.2877,99.3727,99.6131,99.6106,99.4671,99.3696,99.2396,99.8099,99.3276,99.4194,99.4642,99.4987,99.3276,99.6376,99.2115,99.1089,99.36,99.5511,99.4465,99.3144,98.9017,99.6636,99.8064,99.1573,99.5591,99.5697,99.5827,99.4612,99.36,99.6864,99.47,99.4345,99.567,99.6255,99.6006,99.3341,99.5564
