generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.5376,97.2244,99.8319,87.5391,98.6123,96.8529,67.7149,13.6216,95.4801,98.0735,living,best,half,0.5,10,4
1.0,99.9744,99.3978,99.7734,99.9908,99.9292,98.4375,99.5955,9.5219,13.1376,79.6599,living,best,half,0.5,10,4
2.0,99.9661,99.257,90.7706,98.0735,94.838,98.8249,95.2737,93.8099,3.3318,99.9551,living,best,half,0.5,10,4
3.0,94.7833,83.8557,99.7734,99.6279,96.4203,92.2493,94.5618,49.7886,92.0927,96.1662,living,best,half,0.5,10,4
4.0,85.8925,83.2064,86.1913,31.574,98.0232,88.2351,99.9462,97.6407,53.1597,97.9608,living,best,half,0.5,10,4
5.0,85.4991,96.2751,98.4074,94.8198,99.9405,99.9992,99.9718,99.9738,85.9525,87.8339,living,best,half,0.5,10,4
6.0,92.935,93.167,89.5154,96.9445,6.2201,99.9942,87.0975,94.9285,96.1975,98.5018,living,best,half,0.5,10,4
7.0,0.0,97.2709,92.5034,94.4963,94.6361,83.743,94.7008,99.9915,91.2147,86.9823,living,best,half,0.5,10,4
8.0,86.31,98.659,97.3104,72.5214,11.1128,18.6396,96.6291,82.3936,99.2944,99.975,living,best,half,0.5,10,4
9.0,0.0,99.7358,99.4254,99.7317,98.4574,99.9631,98.714,76.0488,91.8661,79.1334,living,best,half,0.5,10,4
10.0,92.0,0.0,97.0,87.0,27.0,39.0,79.0,94.0,84.0,98.0,living,best,half,0.5,10,4
