generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,99.8789,99.9831,89.6445,99.5618,72.1005,99.1462,20.3979,96.5923,93.8793,88.831,living,best,half,0.1,10,4
1.0,99.9462,99.7939,92.5689,99.9984,99.981,89.5542,91.9684,92.6776,79.9833,83.2555,living,best,half,0.1,10,4
2.0,99.9227,99.7106,99.5294,97.44,99.6909,99.1573,100.0,99.9984,99.7254,99.9227,living,best,half,0.1,10,4
3.0,99.9997,99.8495,99.5591,97.7977,99.9608,99.9787,99.9851,99.9988,99.6376,99.9462,living,best,half,0.1,10,4
4.0,97.0759,97.5414,99.9227,99.9984,99.7939,99.8733,99.9936,99.9787,93.4771,99.7599,living,best,half,0.1,10,4
5.0,99.6886,99.9498,98.4772,98.1395,99.7939,89.4635,99.9988,97.7918,99.6728,99.7957,living,best,half,0.1,10,4
6.0,99.7939,99.8432,95.8791,94.2688,95.8139,97.0071,99.8185,97.3038,99.9462,100.0,living,best,half,0.1,10,4
7.0,99.6056,99.7847,99.9647,88.0284,99.9987,86.3248,99.9744,99.9966,99.7062,98.8075,living,best,half,0.1,10,4
8.0,96.9235,98.199,99.8858,99.8616,99.9051,40.4633,98.5359,99.5457,99.9314,99.9147,living,best,half,0.1,10,4
9.0,95.6985,99.8185,99.9987,99.8185,98.2523,99.0474,99.3439,96.8883,99.1351,99.5376,living,best,half,0.1,10,4
10.0,97.0,86.0,96.0,98.0,100.0,96.0,100.0,98.0,100.0,99.0,living,best,half,0.1,10,4
