generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,33.153,96.6291,98.9101,90.4272,92.2271,90.8675,97.1439,76.96,88.535,73.7036,living,best,half,0.5,10,4
1.0,77.4185,99.6705,86.3839,99.9434,99.0591,88.951,81.0253,98.1176,98.1558,88.535,living,best,half,0.5,10,4
2.0,99.8134,99.9405,86.5164,97.0691,13.1376,99.8236,99.9982,31.1432,96.7239,99.7975,living,best,half,0.5,10,4
3.0,16.3873,94.7833,94.9824,99.1388,96.9235,89.4245,99.6796,85.4381,82.2591,99.9498,living,best,half,0.5,10,4
4.0,99.008,83.8878,99.7599,98.8722,54.5185,93.74,99.4671,99.9136,6.2589,0.8382,living,best,half,0.5,10,4
5.0,80.763,99.9993,96.0479,99.6495,39.2224,97.9608,98.8849,92.5362,74.3964,9.9019,living,best,half,0.5,10,4
6.0,97.4528,85.8323,95.0003,99.9631,78.7663,99.6056,98.7321,85.6207,5.8712,0.0,living,best,half,0.5,10,4
7.0,99.9452,99.6774,95.3344,99.543,97.5288,99.004,95.5816,16.3873,98.9839,99.7828,living,best,half,0.5,10,4
8.0,99.8937,99.4524,97.0209,99.6376,97.0622,98.079,99.1388,99.982,90.178,96.9724,living,best,half,0.5,10,4
9.0,97.251,4.3125,74.9199,73.7036,98.2311,99.6997,92.7854,96.1427,99.9271,23.5425,living,best,half,0.5,10,4
10.0,1.0,100.0,82.0,93.0,100.0,100.0,67.0,96.0,93.0,92.0,living,best,half,0.5,10,4
