generation,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,encode,selection,crossover,mutation,N,n_select
0.0,25.799,99.6886,90.1404,97.5476,99.744,89.8239,22.5952,99.975,92.5689,96.9445,living,best,half,0.05,10,4
1.0,99.7957,99.6796,99.4524,99.9631,98.4174,99.9892,99.7993,99.7993,99.9892,96.76,living,best,half,0.05,10,4
2.0,99.9892,99.4163,99.744,98.4325,99.9303,99.9661,99.744,99.6953,95.7729,99.9892,living,best,half,0.05,10,4
3.0,99.9883,93.167,99.8082,99.9014,99.9969,99.8989,99.9892,99.9661,99.7734,98.8422,living,best,half,0.05,10,4
4.0,97.7977,97.2841,99.9883,99.9975,99.9661,99.9892,99.9892,99.7791,99.6205,99.9973,living,best,half,0.05,10,4
5.0,99.9883,99.9973,96.7959,99.9883,99.5878,99.8219,99.9892,98.0456,99.3791,99.9861,living,best,half,0.05,10,4
6.0,99.9892,98.0288,99.9883,98.9267,99.9883,99.3341,99.7579,99.9227,99.4931,99.9841,living,best,half,0.05,10,4
7.0,99.4987,99.9883,98.7635,95.8628,99.9892,98.8422,98.5552,99.9996,99.9892,99.9936,living,best,half,0.05,10,4
8.0,99.8761,99.9334,99.9936,99.0159,99.9904,99.9892,99.3853,99.9969,99.36,97.7017,living,best,half,0.05,10,4
9.0,97.9091,99.8817,99.9936,99.8817,99.9936,98.9759,99.9841,99.9936,99.36,99.8368,living,best,half,0.05,10,4
10.0,100.0,100.0,97.0,100.0,95.0,100.0,100.0,100.0,99.0,100.0,living,best,half,0.05,10,4
